scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,total_moves
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',U' R D B' D' R',F' L' D' B' L' B' L B2 L' D L2 F,D' B' U' B D B' U B,R B' R U R' U' B' R' B2 R',U2 R2 U L2 U' R2 U L2 U,R U' F2 U R' B2 R U' F2 U R' B2,,63
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',U' R B' R' B,F2 U' F2 U L R2 F L' F2 R2 F',F' L2 F2 U' F' U2 L' U' L2 F' L F,D U2 F2 D' R U L2 U' R' U2,,D' U R2 D U' B2,,49
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,U' B U B',R B' L2 B R' U2 B' U2 L B' L B,U' L' U B2 L' B2 L2 B2 D L D' B2,R U' L2 B2 D B' D' B' L2 U R',B L' F' L B' L' F L,R U' F2 U R' B2 R U' F2 U R' B2,,64
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,R' U R U',L U2 L' U2 F2 U F U L U2 F2 L',B D2 R2 U F U' R2 D B' D,D' L2 U R2 U' L2 D B2,L2 B' U' B U2 F' L2 F L2 U' B L2 B',B' D F D' B D F' D',,61
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,R U R' U',D' U' F' L2 F' L2 D2 U' B' D' R2 U2,F2 D' F2 L' F' L F' D F' U' R' U F',D' U L2 D U' F2,D B' U' B D' B' U B,,,49
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,R U B U' B' R',D2 B' D2 F' D2 U B D2 U' R U R',L F' L' D F U' F R F2 D' F U,B D' L2 D2 U' L2 D' F2 U B',D' B' D2 B' U' B D2 B' D L2 U,R U' F2 U R' B2 R U' F2 U R' B2,,69
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,R' F2 R F2,B2 L2 B2 L2 U B2 D L D' B2 U',F' D2 L' D' L D' L' D' L F,D B D' F' D B' D' F,L D' B D B' D' U B' D2 U' L2 D' L,B2 R U' F2 U R' B2 R U' F2 U R',,64
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,D2 L D' B2 D' R,F2 U' L U L D2 B' D B2 D F2 L2,D2 R D' L2 D R' D2 U B2 U',D' B2 D' L U R2 U' L' D2,B' L2 B D2 F' D B D2 F D2 B' D L2,D B D2 R D R' D L B L' D' B',,68
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,B L' B' L,F2 D' L' F2 R2 B2 L2 U' R2 B2 L2,L D2 L U L' D2 L U' L2,D' L' U' F' U2 L2 D' B' D L2 U' F L D,R B2 R' B' D' B' R' B D B',B2 R U' F2 U R' B2 R U' F2 U R',,65
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,B R B R' B',L R' U B F L B' L' U' F' R,L B L2 B' L B' U' L' U L B2 L B',B R F R' B' R F' R',B' L2 B D2 F' D B D2 F D2 B' D L2,D2 U F D' B2 D F' U' L2 D2,,65
