scramble,orientation,Step_UF_UR,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_BD_DBL_DBR_DFR_LD,Step_FD_RD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F R' B,D R' F2 D' F',L U L' U L2,B U2 B2 U' B R' U' R,L2 U L' U L U2 L2,U' F' L U2 L F L2 F' L' U2 F L',D' L' B D U' L2 D' U B L D,51
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 B2 D',F' L U2 L U' F,B U' L2 B' F',R' U L2 R' F L2 R2,U2 L D' B' U' B D L',U2 L' F R2 B2 R D' R' D B2 R2 F' L,L U' L F R B U B' R' F' L2,53
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 L' D2,F2 R2 B2 L B' L B' R2,U2 F',U2 R2 U' R' U R2,R U' B2 R' B2,B' R B R' U2 R' U2 L F' L' R U2,U L' R' F L' R U' B2 R2 D F2 R2 B2,49
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U L2 B D',R U2 B' R B R2,U2 F',R' U' R,R B2 R' B2,B' F' R F' D' F R' B F U' R' U2 R,R2 B' F' R F2 D2 F2 R B F,42
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,L2 U F2,U L' U2 L2,B' R' F R' D' F' R2 B,U' L2 R2 F' L2 R2,U F' L2 D' L U' L' D L2 U F,D' B F' R B2 R D U' B D' U R2 B F,49
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,F2 L B' D',D' L D L2 F2,U' B U L2 B',U' R' F' U2 F R,D' U B' D,F' U' F2 R' D R2 U R D' R2 U' F' U2,U' D' L' B D U' L2 D' U B L D U,50
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' D2 B,L2 F2 L' F2,U B' U B L2,R B2 L' D L B2 R',U2 L2 R2 F' L2 R2,L' B' U' B2 L' B' L2 U L F' L' F,D2 B2 R2 B2 R2 B2 R2 D2,45
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 D',F' R' F' R F,L2 U L B' R2 F' R2 B L,B L' B L2 B2,B U B' L',L U2 L' U B' U2 F' U B U2 L' U F,B F' R D' U' B D' U R' D2 R B' F D2,53
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D' R',F U L2 F',L' U B' U B U2 L,U B L' U2 B',L' U L',U L2 R' D' R2 U L' F2 L U' R' D2 L2,B2 F2 R B R' B2 F2 L B' L',45
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 D' B,L2 F2 L' F',B' U2 B U2 L,L' R' U R,L D' U2 B' U' B D L',B F' L' B' U2 B2 D F' D' B2 U2 F,D' R B2 R D B R D2 R' D' B' R2 D,50
