scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_DBL_DBR_DFR,Step_BD_LD,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_GEN,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U2 B U B',B U B2 U' B U' F' U F,F2 L' F' L' D' B' L B D F',F' L' U L2 U' L F L2,R2 B2 R' B' D B2 D' B R',F L2 F' R F L2 F' R',R U' F2 U R' B2 R U' F2 U R' B2,,66
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,L B L2 B' L' U,L2 B2 F' L2 B' L F L' B',R2 B L D2 F2 D2 L' B' R2,U F' R2 F U' L2 U F' R2 F U' L2,F' D' U L B2 L' D U' F L2,L2 F' L' U L2 U' L F,,,60
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L' B L U2 B',U L B U B' U2 L',R' B2 F R B F' U' B R,B' D' R2 U F' U' R2 D2 B' D' B2,F' L' D L D L' D L D2 F,R B2 U' R' B' R B U B2 R',,,57
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R' U' R B' U B,U L U' F R2 F2 L' F R2,L2 U L' D' U B D U2 L2,D R D' L2 D R' U' F2 D' U,B' U R2 B R' B' R' U' B,B2 R' D B D' B' R B2 R2 B' R2 B,R U' F2 U R' B2 R U' F2 U R' B2,,72
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',L' U2 L,B D2 F' U' F' D2 U B',B' L R' U2 L' R B',L2 D R D' L2 D R' D',,D L B' L' U B D' B R B2 U' B,U2 R2 U L2 D' F2 D L2 U,,53
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U2 L' U L,R' F2 U2 R U2 F' R' F' R,R B F' U2 B' F R,D B D' F' D B' D' F,B R B2 U2 F R' F' U2 L' B L B2 R',R2 B2 R' B' D B2 D' B R',,,56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U B L' B' U L,B D' R F U' F' R' D B',F2 L' D' F2 L F2 D L F2,F U B' U' B R' U' B' U2 B U2 R F',,L' D' L2 B' L B D L' U' F2 U,,,54
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,L2 B L2 U2 B',R' F L F2 L' F R F2,B' R U L' R B' L R2 B,L2 D R D' L2 D R' D',B' U R2 B R' B' R' U' B,U F R2 D R2 B R B2 D B D2 R' F' U',R U' F2 U R' B2 R U' F2 U R' B2,,71
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B' R B2 U2 B' R',U L D U' F D' L',L2 F D L2 F2 L2 D' F' L2,L2 D B2 D' L2 D B2 D',L' F L B L' F' L B',F2 D2 F' D2 R' B R' B' R F' R' F R F',B2 R U' F2 U R' B2 R U' F2 U R',,70
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,B L' B' L U,R' D2 L2 B' U' B D2 R,F2 L' R D' L' D L2 R' F2,U B U2 F2 R' F' R2 U' R' U2 F' U B' U',R F' R' B R F R' B',L U2 B R U R' U' B' U2 L',,,61
