scramble,orientation,Step_UB_UF_UL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_GEN,Step_DBR_DFR_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' B' F,D2 U' L D2,R' F' U F R',B L U2 L' B',F' L' U L2 U L' U B' F U' R' B,,F U' B U2 F' U B' F2 R2 F2 U2,41
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 R2 B F L',R' F U F' R,R' U2 B' R B,R' B' U B R,B' U2 F U' R' U R U B F',,R2 B2 U B2 D' R2 D R2 U' R2,40
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B2 U2 L2 R' D,L' U' L,U2 L F' U' F L',D B2 D',U' L U' L' B2 F R B F' U B,,B' U F' U2 B U' B2 F R2 B2 U2,39
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L B' U' L2,U F R2 U R' U2 F',R2 D' F2 D,B L F U' F' L' B',B' U2 R' U' F D R2 D' F' U2 R B,,U' B2 R2 B2 U' B2 R2 B2 U',43
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F' L' R' D L,L' B' R' B U2 L,B2 R B2 F' U F,R B' U B R,U2 L B U' F U' B' F R2 F2 L',,L2 U' B2 U F2 U' R2 F2 D' B2 U,44
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' B D2 B',F' L F L',U' B' U R2 B,B2 U' B' U B2,B' L F R2 F R' F2 L' B,,U F2 L2 B2 D' B2 L2 F2,35
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D2 U' L B F',L U' L2 F' L F L,U R2 U R',F2 D B2 R' D' F2,B' F' D2 U2 B L' B' D2 F R U B,,U,35
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B F' L',L' F2 R F2 U2 L2,U R' D' F' D,U B' U B2 U B',B U2 R B2 R' U2 B' U L U L',,U F U' B U2 F' U B' F2 R2 F2 U2 U,46
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L B' R F D',B U2 B' F2 R F2,U' R U R2,R' B' L' B L U2 B R,B L B2 F U R' B F' U' L U' L2,,L2 U F2 U' B2 U R2 B2 D F2 U',46
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' F' L D' F',F' D B' D' F,U B' R2 B R,R' F' U' F2 R' F' R2,B' U' B U' L B' F R B U' F' L',,U' F U' B U2 F' U B' F2 R2 F2 U2,46
