scramble,orientation,Step_DBL_DBR_DFR,Step_UF,Step_FD_RD,Step_GEN,Step_UBL,Step_FR_UFR,Step_BR_UBR,Step_FL_UFL,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' U F2 U,,U2 F2 R' U' F R' F',R F' L' B2 D' F R2 B2 U' R',B2 D B2 U' L2 U,D U' L2 D' U B2,U R B2 R F2 L2 D2 R B2 L' U,D L B F' D2 B' F L D',53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L' R' F,D,L' U F R2 U R F',F' L U' R2 U2 F L2 F' L2 U',U' R2 D F2 D' R2 U,L D' U B2 D U' L,L2 U' F2 U L2,,41
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' L B D2 R',L' U B U',F' U' B' U R' F D2 B,U' R F2 D' U2 B U' L' F' D,,D U' L2 D' U B2,L F2 D' R' D2 L' D' R F2 D L',U' L' B' F U2 B F' L' U,53
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D F U' R2 F,R' B' R,U2 L2 R2 B' U' F2 D B,F' D' F D2 B D2 B' L D,L2 U' F2 U L2,L D' U B2 D U' L,U2 R D2 U2 L' D2,B2 U2 F2 R F2 U2 B2 L,51
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F R' F2 L2 B',D,F L D R' F' U B' D',L2 R B F D F' D B' F R',U R2 D R2 D' R2 U',F2 D U' R2 D' U,B' R' F R F2 U2 B L B' U2 B F,R2 U2 L2 U2 R2,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,B F' U2,D',L R2 D' L' B' F D R,R' D' U2 B D R' U2 F' R2,R2 D2 R2 D2 R2,D U2 R2 U L2 D' F2 U B2,R U R B2 L2 D L D' L B2 R2,L' U' L' F2 L' U L U' L F2 U,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R D2 B' L',F L F' D',L R2 D' L' B' F D R,F' U L B' R2 D2 U' B' D' B2,L2 U' F2 U L2,B2 U2 F2 L' F2 U2 B2 R',F2 D' F2 D2 U' R2 D' F2 U,L' D2 U2 R D2 U2,54
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U L' F,U' L U B',U' R' B2 R2 B2 L U',F U B' U' L2 F' D2,F U2 B' R2 B2 U2 F' U2 B' U2,U' F2 D' F2 L2 B' U' B L2 F' D F U,U' F2 U' R2 U F2 U,,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' F2 D R' F,B F' R B' F,B D2 U2 L U' F' U' B',R F R' F L' F' L',,L D2 L' U B2 D L' D' B2 L D2 L' U',L' R F2 L R',,43
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D B' L2,R' B' R,D2 R' F' U R2 B' F,D L2 D2 F' U' F2 D2 R' U,D' B2 D2 B2 D' B2 D' B2,L D2 L' U B2 D L' D' B2 L D2 L' U',U' F2 D' F2 D F2 U,U' L2 U' R2 U L2 U' R2 U2,59
