scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_GEN,Step_FR_UFR,Step_BL,Step_BR_UBR,Step_FL_UFL,Step_UF,Step_FD_RD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 R2 B R2 D' B' L F',B R' D B' U2 L' F' U2 R,U F2 D U' R2,L' B F' D2 B' F L',U' B2 R F2 D2 B2 L F2 U',L D B' F L2 B F' D L',D B F' R2 B' F D,D2 R2 B2 R2 D2 B2 R2 B2,62
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F L' F L2 B' U2 L,B2 R D2 R D B D' B' R,U2 F2 L' D2 F2 U2 R' B2,L' U' L' R B2 L R' U' L,R D2 U2 L' U2,L B F' D2 B' F L,,F2 U' B2 R2 F2 D' B2 L2,53
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R U2 B2 D' F R2 B,B L2 U R' D' B2 U' B',U2 F2 D2 F2 U2 B2,,,L D B' F L2 B F' D L',B2 U' F2 R2 B2 D' F2 L2,F2 L2 B2 D' R2 B2 L2 U',46
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B R B F D' L U' R2,F' R2 B L2 F L2 F D B',D' B2 D B2 D' B2 D,U2 L' D2 U2 R,D2,D' L' D L R2 B2 R D' R' B2 R2,R D2 L R' B2 L',D' R2 F2 L2 U B2 L2 F2 D2,56
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F2 U' B' U L R2 B,B U L' F L D' U' B',,L' D' B' F L2 B F' D' L,R' D R' D' R2 B2 R' D' R B2,D2,,D' L R' B2 L' R D',42
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U R2 B F R' B U2 L',B2 L F' R B F D' L' B,R U R' F2 L' U2 L' D L2 U F2 R,U2 L D2 U2 R',D R2 D' B2 D R2,L B2 U L2 F2 R2 D F2 L,L B2 L' R D2 R',F2 L2 B2 D' B2 L2 F2 U',63
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 R2 U' F2 L B2 D' F,U R F' D2 F U2 B U B',D' R' B' F D2 B F' R' D,U F2 D U' R2,B2 R' D R' D' R2 B2 R' D' R,L2 U' F2 U L2 D',L B2 L' R D2 R',D2 R2 B2 R2 D2 B2 R2 B2,61
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,U2 F U L' F2 U F',B2 R2 B' D2 B' R' D' B' R,B2 D' L F' U' B2 U F L',U F2 D U' R2,L2 U' F2 U' R2 U2 L2,R D U' B2 D' U R,U F2 L2 B2 D L2 F2 R2,U2 B2 R2 F2 D B2 L2 F2 U',61
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L F D L U2 L2,U F' U' B' U F U',U' F2 L' D2 F2 U2 R' B2 U',U B2 D U' L2 D',L2 U2 R2 U2 L2,R D L2 U R2 U' L2 D B2 D2 R',D B F' R2 B' F D,B2 D B2 R2 B2 D B2 R2,59
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U2 R B' U' F' R',U F U' R' B2 L B' L' B',R U B' R2 U' B U R2 D B R2 U' R',L B' F U2 B F' L,D2,R D B D B2 D' R' U' B U,B2 U' F2 R2 B2 D' F2 L2,F2 L2 B2 D' B2 L2 F2 U',64
