scramble,orientation,Step_UF_UL_UR,Step_FR_UFR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_GEN,Step_FD_RD,Step_DBR_DFR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R,D2 B2 D2,B' U F U2 B,L' U L U2 F,U F2 U R U' R' F2,R' F R U R' U' F' U R,U' L R' F2 L' R U2,U' L2 F2 L2 U L2 F2 L2,49
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 B2 D' L,F R' F' U2 R,L U' L F' L2,U L F L' R U R',U2 L' U' L F',B' U' R' U F' R B R' F R,L R' F2 L' R U2,B2 R2 B' L' B R2 B' L B',51
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 L' D' F' D',U2 R' U R U' R' U' R,R U' B2 R' B2,D F R F' D',U2 F',L F D' L' U2 L D F' L',U' L R' F2 L' R U2,L F' L B2 L' F L B2 L2,50
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D2 B R D,B U2 B' R' U' R,B' U' B L' B L B',D' L' D2 R D',R' F2 U2 F2 R,L B' U' R' U F U' R U B L',U L R' F2 L' R U2,U' B2 R2 B' L' B R2 B' L B' U,56
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F D,R' F' U2 F R,B' U R' U' R U' B,U' F' U2 F2,B' L2 B' L2 B,R' D R2 U' B U2 B' U R2 D' R,D B' F R2 B F' D',B2 R2 B' L' B R2 B' L B',52
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F D' L B,R' U2 L F2 L' U' R,B' F2 U B,R U2 R',U B L' U' L B',L R' F' R U2 L' U2 L' B L B',U L R' F2 L' R U2,U L F' L B2 L' F L B2 L2 U',54
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 D' B L2,U2 R' U' R,L2 F' L' F U2 L',B' F' U' B F2,L2 U' B' U B L2,L F' L' B L F L' B',L R' F2 L' R U2,R U' R F2 R' U B' R F2 R' B R',52
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L B D' L' R',R' U R' F R2,L U2 F' L F L2,D2 U2 B2 D2,F U L U2 L' F',F2 U B' F R' F2 R B F',U2 L2 B2 R2 D R2 B2 L2 U2,,44
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 F' D',R' U L F2 L' U' R,U2 L2 F2 L' U L',R' U2 F R F2 U' F,U2 L U L' F',U' L F' D' L2 U L2 D F' L',L2 B2 R2 D R2 B2 L2 U2,F2 R D R' B2 L U' L' B2 R2 D' R2 F2,60
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R2 U' B' R D2 B,F R' B' R' B R F',L' U2 L2 U L',F2 D U2 R D',R2 F2 R F2 R,R' U2 R2 B' R' B R' U2 R,U,F2 R D R' B2 L U' L' B2 R2 D' R2 F2,51
