scramble,orientation,Step_UF,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_GEN,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 D',F' L' F' U2,R' B D U' R2 F R' B' D2,L' B' U' F U B L,L B' L' B2 R D2 R' B',B L' U2 F' R2 F U2 L B' D2,U2 B U2 F' L F U L' B L B2 U',F R U2 B2 D2 L B2 U2 F,61
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,B U L' B',F L2 R' D2 B2 U' L2 R B2 D2,R B2 R2 B2 R',B2 U2 F2 R F2 U2 B2 L,D U' L D' L' F' D' F U,B2 U2 F2 L' F2 U2 B2 R',,47
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 D',F' U2 R,B2 R' B' D U' B' L R F2,R' U2 R U F' U2 F U R' U2,B U F D' F' U' B',F' L2 F2 L2 F,L' R D' L B2 R' U R' U' R2 B2 R',B F' D' F D B' F L' F' L,58
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' D,U2,R2 F2 L D R' D' R2 D F' D',L2 D2 B D B' D L2 U' F U,L B' L' B2 R D2 R' B',U' L' U' F' U F L F' U,D B2 D B' D' B2 D',F' U2 B2 L' D2 B2 U2 R' F',56
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U2 B2,R2 F' U2,R B2 L B' F D' B2 D2 U2 B,F' L2 F2 L2 F,B2 R D R' B2 U' L2 U,L2 D B' R2 B D' L2 D B' R2 B D',L2 D2 L D2 L2,F' U2 B2 L' D2 B2 U2 R' F',54
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B,R2 U' F2 R,L' F' L B D2 R U2 F R' B',R' F' U F2 L F U' F2,,F' L' D L F' L' D F D F' D2 L F2,R2 D2 B2 U2 L2 F2 U2 B2,F' U2 B2 L' D2 B2 U2 R' F',53
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D',R' B L2 U B',U2 L D2 B' D L' B D U2 L2 F2,D2 B2 U2 F2 U2 B2,D2 L' D2 L,U F' U L U L2 B' U B' D' R' B2,F' U' R U R F R',B F' D' F D B' F L' F' L,57
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,,B L' U' B' R',F D2 R B2 U R B2 L2 D2 R',L2 F' U' F' U F2 L2 B2 R' D R D' B2,D' B D' B' D2,U F2 D U' R2 D',R2 F' U F' U' F2 R2 B' D' B,F R U2 B2 D2 L B2 U2 F,58
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B',F2 U2 R2,F2 L' B F2 D L F' L' B' L2,R B2 U F' U' B2 R',R2 D' B D' R' D B' D R2,D B U' L' F L U B2 L' B U' F' U,B2 U2 F2 L' F2 U2 B2 R',F' U2 B2 L' D2 B2 U2 R' F',61
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,,U' L' U,R D2 R' D2 F2 U L U2 F U,R B2 R B U R U' R' B R',D2 B2 R' B' R B' D L' D L,B2 D B2 D' B2 D,B U2 F' D' L' B D' B' D2 F U L B' U,F R U2 B2 D2 L B2 U2 F,62
