scramble,orientation,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_DBR_DFR_FD_RD,Step_UB_UF_UL,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B U B',L' D F D',U2 R U' R B' R2,L B' R' B L2 B' R2 B' R' B2 L,F2 R2 F2 L F' L B2 L' F L',D2 L2 B2 R2 U' F2 R2 B2 D,,43
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,U B F' L B2 F,R' U L R,F D' F',D F U2 R U2 R' B' L' B F',U2 B2 F' D' F L2 B' U B L2 B2,L2 D' F2 L2 F2 D' L2 F2,,42
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R' U' R B2,U2 B L' B' L',B U R2,F' U L B U B U' B' L' U' F,B D2 F2 U2 F2 D2 B,B2 U' B' F R2 B F' U' B2,,39
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U2 B' U B2,R2 U L,B U2 R',F' L' U2 F R' U' R2 U R' B' R2,U' B2 F2 D' U' B2 F2 D,U2 B2 R2 D B2 R2 B2 D R2 U2,,39
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D B D' F2,L2 U' L,L' B' R2,U L' U' F U' B' F R' F2 U B L,F2 U' L2 F2 D' L2 D F2 U' L2,L2 D' B' F L2 B F' D' L2,,42
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B L2 D2,U' L U2 L2 U' L2,B2 U F U' B2,F R2 F2 R' U B' U' F D U2 B',L' U L' B2 R D' R' B2 L2 U,D L2 F2 D L2 F2 L2 D F2 D',,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B L' D',U R2 D L' R2,R U R',D' B' F L R2 F' U2 F R2 F' U' B,F2 L2 D' R2 U R2 U' L2 U F2,L2 D B' F L2 B F' D L2,,42
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,B U2 R' B',F',U B' U' R2 B,U L' F' D2 B L2 R F L' D' B' D',L2 F2 L2 U' R2 B2 R2,B2 D' R2 F2 L2 U' F2 R2,,37
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R F D2,D F' L' D F D2,L' B2 R B2,U B' F' D U' L B U L' D' R' F,F2 U' L2 R2 D' L2 R2 U2 F2,B2 D R2 F2 L2 U F2 R2,,42
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B2 U' B U B2,L U' B2 L',U F2 R',F2 R2 F R' F U B' D L2 B2 U L,L2 D L2 B2 D F2 U' F2 U B2,D2 F2 L2 F2 D F2 L2 F2 D',,43
