scramble,orientation,Step_UF,Step_FD_RD,Step_DBL_DBR_DFR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B L B' R2,L2 B' D F2 D2 R F U' R' D' B,B2 D B2 D' B2 D,U' F2 U' R2 U F2 U,U2 F2 L' U2 B2 D2 R' B2,U F2 L' D2 F2 U2 R' B2 U,47
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B' F2 R B,L' B U' R2 U' R2 B2 U2 B F',L' B2 U2 F2 R' F2 U2 B2,B2 U2 F2 R U2 B2 D2 L,U2 B2 D R2 D B2 U2 F2,R2 D U' B2 D' U,45
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U' R',L B' D L' U2 B' D2 F2 R' B' U2,D' B2 D B2 D' B2,U2 R' D L B2 L' D' R D U2,L' B2 R' U2 R2 F2 R' B2 L D2,R B F' U2 B' F R,48
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R,L2 D' B' D' B D2 L2 D' F L D,D U' B2 D' U R2,B' L' B U' F2 U B' L B,F2 R B2 D2 F2 L B2 U2,D2 R B2 U2 F2 L U2 B2,46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B',B L' F' L' D L2 B' L F' L F2,R2 U L2 U' R2 D' L2 D,R U2 F L2 F' R' B D2 B' R U2 R',B2 U R2 U' B2 D,U2 R D2 U2 L' D2,49
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',B2 F' D' U B D L2 U' B2 F,,R B' F D2 B F' R,U L2 D B2 D' L2 U',L' D' U B2 D U' L',33
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U',B' D2 L2 F' U B2 U' B' D2 L' F',B2 R' F2 D2 B2 L' F2 U2,U2 R' D2 U2 L D2,D' F2 U B2 D' L' D2 U2 R' U,L D' U B2 D U' L,48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F2 R2 U',U' B2 F L2 R2 U' L2 B2 U F D',L U' L2 B2 R2 D' R2 B2 L,L2 U' F2 U L2,L' D L' D' B2 U2 L' U' L U2 B2,L' D' U B2 D U' L',48
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F R2 U' R',R F L B2 L' B F2 D2 B R2,,B R' B' R2 B F R' B' R F' R2,U2 B2 U F2 U' B2 U2,R2 D2 R2 D2 R2,40
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F R2 U' R',L2 R' B' D' L' U2 B2 R B2 L D B,L2 U' F2 U L2,U2 R' D L B2 L' D' R D U2,L' U' L2 B2 R2 D' R2 B2 L',F2 D U' R2 D' U,49
