scramble,orientation,Step_FD_RD,Step_UB_UF_UL_UR,Step_BD_LD,Step_GEN,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_DBL_DBR_DFR,total_moves
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',B' D B2 D B' R' D' R,L' U L' D' B D L2 U',F' U' F2 U L F' L' U' F' U,D2 F2 R2 F2 R2 D2,D' L2 U R2 U' L2 D B2,B2 D F2 D' B2 D F2 D',F' L' F R2 F' L F R2,F R' F L2 F' R F L2 F2,69
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',D' B' L B2 D' B' F L',U2 R' U R U,R B2 R B' R B' R2 B R B',L2 B2 L2 B2,D2 B2 L2 B2 L2 D2,B2 U B2 U B2 U B2 U B2 U,,R2 F2 R' B' R F2 R' B R',57
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',B2 L2 B' D2 B' L D,L' B' R U R' B L,F D' R2 B L' F2 L B' R2 F2 D F,D F2 D B2 D' F2 D B2 D2,L2 D' U L2 D U' L2 F2,L2 U' L2 U' L2 U' L2 U' L2 U',U L2 B2 L2 B2 U',U2 F R' F L2 F' R F L2 F2 U2,74
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',L' D2 F2 L' D2 F',F L F' L' F',R' D L2 B' L2 B2 D' B' L2 R B' L2 B,F2 R B R' F2 R B' R',D R2 B2 R2 B2 D',U L2 B2 L2 B2 U',,U R2 F2 R' B' R F2 R' B R' U',59
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,L B' D' L B R' D R,L2 U L' U' F' L2 F,L F' D' B' L B L D L2 F,R B R' F2 R B' R' F2,R2 F2 R2 F2,D' F2 R2 F2 R2 D,F' L' F R2 F' L F R2,U2 R2 F2 R' B' R F2 R' B R' U2,63
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',B' F2 D L' B F' L2,B R U R' B',U2 R' U2 F L R F D R' D' L' F',B2 L2 B2 L2,D' U L2 D U' F2,U L2 U' R2 U L2 U' R2,D B2 D F2 D' B2 D F2 D2,,54
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,D2 B' L D B D,L' U L2 U' L',R' D' R2 D2 F' D B R2 B' D F R',F2 R B R' F2 R B' R',D2 F2 L2 F2 L2 D2,,D B2 D F2 D' B2 D F2 D2,U' F R' F L2 F' R F L2 F2 U,60
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F' L D2 F' L2,F' D' L' D F,L F R2 F' L' F R2 F',F2 R B R' F2 R B' R',U2 L2 F2 L2 F2 U2,L2 B2 L2 B2,D' F2 D B2 D' F2 D B2,F U' B D2 B' U B F' U' F D2 F' U B',62
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F2 D F L D,R D B2 U2 B2 D' R',B L R D L' R' D R D2 R' D B',U' L2 U' L2 U' L2 U' L2 U' L2,D R2 B2 R2 B2 D',,U L2 B2 L2 B2 U',F U' B D2 B' U B F' U' F D2 F' U B',61
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',D L2 D',U B' U B U2,D' B2 U' B' D L' B U L B' L',F2 D B2 R2 B2 R2 D' F2,D2 L2 B2 L2 B2 D2,U' B2 U' B2 U' B2 U' B2 U' B2,D' F2 D B2 D' F2 D B2,L F R F' L' B F L B' R' B L' B' F',69
