scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_GEN,Step_DBL_DBR_DFR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,R' U R U',B' R U2 R' B,U2 R' B' R' B R U2,D' L D F2 D' L' D,F U F' U F U F' U2,L' B U B2 U B2 U2 B' U L U',,48
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,U' B U B',B2 U' R B2 R' B2 U B2,B2 L' B L B2 R' U2 R B',R2 F L2 F L2 R2 F',U' L' B U' B' L U,L2 D' L U2 L' D L U2 L,R2 B2 R F R' B2 R F' R,58
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',U' R D B' D' R',U2 B2 D' B U' B' D B2 U',D L U L' D' U',U' R U F R F' R',L F2 D F D' F L',L F' R' F2 L R' B' D2 B L2 R2,B2 F' D' F L2 B' U B F2 D B2 R2 F2,65
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,R U R' U',B' U B2 U' B',U2 B U2 B U2 R B R' U2 B2,R' U' R2 U R',F' L F L' F U' F' U,B' R2 D2 F2 D F2 D R2 B2 U' B',R2 B2 F2 L2 D R2 B2 F2 L2 U,59
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',U' R B' R' B,L2 F' L2 B' L F L' B,B2 U2 R B' R' U2 B' U2 B' U2,L2 B2 L' F2 L' B2 F2,U F L U L' U' F' U',U' F U R' U2 R2 U R2 U R F',R2 U R2 B' R F D R' D' B R F' R',67
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,B L' B' L,B U2 B2 U' B2 U' B',B U2 B' U R' U2 R U',R F R' F' U' R' U,R' B2 F2 R' B2 F2 R,U' B' U F U' B U F',B2 F' D' F L2 B' U B F2 D B2 R2 F2,59
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,R' F2 R F2,B U2 B2 U' B2 U' B',R2 U' R U' R' U2 R2,D' L2 B2 L2 B2 D,F' L F' D F D' F L',R B2 R2 F' L' F2 R' B' D2 B' R2 F',U R2 B2 R F R' B2 R F' R U',61
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,R U B U' B' R',F' D' L' D F,L2 B2 L B2 L,F' L2 D F' D' L2 F2,U F U2 F' L' U2 L U,U' F U2 F2 U' L' U L F2 U' F',B' R B' L2 B R' B' L2 B2,57
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,B R B R' B',R D2 L' D2 R',U' B U' B' U R' U R,D' L F' L' F D,B2 F U' F' U B2,L U L2 B L B2 U B U2,R2 U R2 B' R F D R' D' B R F' R',57
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,D2 L D' B2 D' R,D U' F U F' D',D2 B U' F U B' F' D2,F D U2 R2 D' U2 F',U' F U F' U' F U F',L U2 L' R D' R2 U' R2 D B2 R',F U F' L2 D' B U' B' U B' D L2 U,65
