scramble,orientation,Step_UF,Step_FR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_DFR,Step_GEN,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',B U B',B2 D B2 L',U L U2 F2 L',R F U' L U F' R',L' U' B' U B L U',R' U2 F L2 D2 F' R2 D2 B' R,B F' U2 B' F R2,43
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,L2 B2 L' B2 L2,U L,B U B' R',R' U2 L2 F L2 U2 R,L' U' B' U B L U2,U L2 U' L B R' F R B' L,B2 F2 L2 D B2 F2 U' R2,45
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,U F R2,U2 F U2 F2,U2 B2 F D B2 F',B D B',F D' F' U' F D F',U2 L R2 B R' F R B' L' R2 U,B2 F2 D B2 F2 U',41
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',,L' U B' U B L2,D R2 B2 D' R2,B' D' L' B' L D B,L' B' U' B U L,D' L F' R2 B' L2 R2 F L D,B' U' B R2 B' U B R2,43
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',B2 L B2,U2 L' U L' U' L2,D' U2 F D,L U L' B L' B' L,L' U' B' U B L U',R B R U' R' F' L B' F R',U' L R' F2 L' R U',46
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,D B D',F' U2 L2,B2 F2 D' B2 L F2,L U L2 U2 L U2 L,F D' F' U' F D F',F R2 B' F2 L B' L F U2 B2,U B2 F2 D' B2 F2,45
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',B' D B,U2 L' B' U2 B U2 L,U2 F2 U' F,U L U' L2,L' U' B' U B L U2,R U F' U2 F U' R',R' U2 R2 U2 R2 U2 R',41
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',B U2 B',F',F' L' U2 L U' F,D L2 R' F L2 R D',,L F2 L' F' U B L B' U' F,U' F2 D B2 D F2 U2 B2,36
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,B U2 B',U2 F2,B2 F2 D' B F2 R' B,L R' D2 R D2 F2,L' U' B' U B L U',L F R' U' R U R F' L' U',U' B2 F2 D' B2 F2 U2,45
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,R,U L' F',R U L2 R' F L2,B' U F R2 F' U' B,L' U' B' U B L U',F' L B2 F R' U2 R U2 B2,R2 B F' U2 B' F,42
