scramble,orientation,Step_UL,Step_GEN,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,U' L2,D L2 B' U' B2 R D' U2 B',D2 R' B2 F2 L' U' R2,L2 D' F2 L' R D2 L' R',B2 D2 B2 D' B2 D' B2,U R2 U F2 U' R2 U',L2 F' R' F L2 F' R F,R D B F' R2 B' F D R',57
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D',R2 U' F2 U' F U B',L D2 F2 D2 L' B2 U,L U' B2 L B2 L' U B2 L' B2 L,U2 F2 U' B2 U F2 U' B2 U',B2 D B2 D' B2,R U2 L2 B2 D2 L2 U2 F2 R,R' D R F2 L2 U L U' L F2,60
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D B' L',U' F R' B' F2 R2 U' B',U' B2,D U2 B2 R D2 U2 L D R2 F2 R2,L D B' F L2 B F' D L',D' B2 D2 B2 D2 B2 D',D' L2 U' F2 U L2 D,L2 U2 R2 U2 L2 D2,53
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,D' B' L',R2 U2 L U2 R F L',L F2 U2 F2 L',F2 L2 U L2 U' L2,L D' B' F L2 B F' D' L',D2 L2 D' L2 U B2 D' U',D2 B2 D B2 U' L2 U,B' R' F' U2 B2 L' B' L B' U2 B F,57
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D' B' L',B F' R' B F2 R' B' U' F',F2 U' B2,B2 D' R' F2 U2 F2 R D B2 F2,B2 D B2 D' B2,R' D' B F' R2 B' F D' R,U' F2 D' F2 D F2 U,D2 R B' F D2 B F' R D2,55
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,,D2 L F D2 B' F' R' F',L F2 U2 F2 L' B2,D' L2 U' R' D2 F2 U2 L U' B2 L2 B2,L D' B' F L2 B F' D' L',,R U B2 D R2 D' B2 U F2 U2 R',B2 D B2 D' B2,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L,U' F2 R F' U' B2 F' R',F2 R2 U',R2 D L2 D' L' D2 B2 L R' B2 R',L D' B' F L2 B F' D' L',L F R F' U2 B L' B L B2 U2 L',D' L2 U' F2 U L2 D,B' L' B D B' L2 U' F' U L' B,62
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D,D' U' R D2 B' D' R',B2 U,U' L2 U F2 U' L2 R2 U,L D B' F L2 B F' D L',B2 D2 B2 D2 B2,L' F L2 F D2 F' L2 F D2 F2 L,R' B2 F' D B2 D' B2 F R,52
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' L,B D' U L F' D' B' D2,U' F2 U',U' F2 L2 B2 D F2 L2 U2,D2 L' D' L' F2 R2 U' R' U R' F2 L2 D2,L2 U' F2 U L2 D',L' F2 D2 F' L2 F D2 F' L2 F' L,R D' B F' R2 B' F D' R',60
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B L',F U' F U B2 R2 F',D2 U' L D2 U2 R,L2 U' R' D2 U2 L' U' B2 L2 B2 F2,F2 L D' L F2 L' D L' F2,U' L D' L' F2 L' U2 B2 R' U' L' D' L2,B2 L' B F' D2 B' F L' B2,F2 L2 U2 B2 U2 L2 F2,64
