scramble,orientation,Step_DFL_UB_UF_UL_UR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_FD_RD,Step_DBL_DBR_DFR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' F U' B' R2,D' L' U' L D,L2 F L2 U2 L2 F' L2,B2 R2 U B U' R2 B2,F' U F U' R B U2 B' R',F U2 F2 L2 D2 B2 D B2 D L2 F U',R2 F2 R' B' R F2 R' B R',55
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 B' D2 B2 L' R',L' U2 F' U F L,B' R' U' R2 B' R' B2,R2 B2 F2 L F L' B2 F R2,U F' L F' L' F2 U',B' L' B' L B' U' B L U L' U B2,F2 D' F' D F' R2 B U' B' R2,57
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R2 F L2 U B D2 L',F U2 L2 F2 L2 F',B2 D2 F2 U2 F2 D2,U2 B U B' U,R F R2 F' R',B R' U' F U R U' R' F' R U B',F2 D' F' D F' R2 B U' B' R2,51
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F D' L' D2 B L2 D',L' R U' R' U L,R U B2 R' B2 U',B U B',U F2 D' F U' F' D F2,U F' U2 F R B L U L' U B' R',,42
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 U' L',U R' F U2 F' R U',L' B' L B L' B L,B2 U2 R B2 R' U2 B2,L2 F' L2 U2 L2 F L2,U2 B' R' U F' U' F U' R U B,R2 F2 R' B' R F2 R' B R',54
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F L' F2,U L2 B' U' B U L2 U2,F L R U' L' R' F' U2,D' R U B' R' B D,L2 U' R U L2 R',F L U F' U' R' F' R F L' F',F2 D' F' D F' R2 B U' B' R2,57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B R2 D2 R2 B R' D,F U2 F R' F' R F' U2,B' R U' R' B,U2 L B2 L B2 L' U2,R B U2 B' R',U B' U' R D' R2 U R' D R2 B2 U2 B',R B' R F2 R' B R F2 R2,54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,L D2 U R2 D2 U' L',L2 D L' U L D' L2,L' D L U' L' D' L,B U F' U' B' F,U' L2 B2 R B R' B L2 U' F U' F',R2 U R2 B' R F D R' D' B R F' R',59
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R D' U2 L R2 B',F R' F R F' U F' U',B' R U R' B,D2 L D2 R2 D2 L' D2,F' U2 F2 U2 F2 U' F U',B' F D' R' D B F' R' U R,F2 R2 F2 U F U' B U2 F' U' B' F R2 F',59
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 R2 U B D2 L' B,B' U' B2 L' B' U' L,U2 B' U2 R' U' R U' B U2,B2 F' U' F U B2,U F' U L' U' L U' F,B2 U B' R' F' U' F R U B',F2 R2 F2 U F U' B U2 F' U' B' F R2 F',61
