scramble,orientation,Step_UB_UF_UL_UR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,Step_DBR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B2 R B F R' B' L' F',U F L2 D2 R2 B D2 L2,F R' D R2 D' R F' R2,L' B' U' L B L' U B L,U' R F2 D L' B2 L D' F2 R',B' D2 F2 L' U2 F2 D2 R' B',,52
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L2 R D2 L D' F D' F,U' L2 B' U B U2 B' U' B L2,F2 U F2 U2 F2 U F2,,U2 R2 D' F2 D R2,B F' U' F U B' F R' F' R,U,42
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B R' D2 R B' L' D' F',L2 D L' F D' U L' B,R U' F R U R2 U' F' R',B' U2 R2 U2 B U2 R2,U B2 L U' L' U2 L U L' B2,U' B' D2 F2 L' U2 F2 D2 R' B',,52
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U' B2 D2 U2 B2 L' R2 F,U F2 R F2 U2 F2 R' F2,L F' R' F2 R F L',L B' R B R2 U2 R U L',U R' U2 F R U R' U' F' R,F R U R' F' L2 R D' B' D L2 R',U,55
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B D2 U B R D' B F2,L2 B' L U' L2 U L' B,R2 B' R D' R2 D R' B,U2 F' L F U2 F' L' F,R' F U' B' U F' U' B R,U' B' D2 F2 L' U2 F2 D2 R' B',,51
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U B D' B L2 R U B D',D' L R' U2 L' R D,U B2 R2 B2 R2,U2 B' R2 U2 R2 B R2 U2 R2,U' R' U2 F R U R' U' F' R,U B F' U' F U B' F R' F' R,U,52
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,L' D B' R' B' D2 B R' D',B2 D' B2 R2 B2 D B2,B' D' R D F' R B R' F,B2 D' U R2 D,R B' R' B U' R' U2 R,B F' U' F U B' F R' F' R,U2,49
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,B2 F' L D R2 D2 L B,F2 D' F L' D U' F R',U2 B2 F R2 B F' R2 U2 B,F' L F U2 F' L' F,R2 U L2 D' F2 D L2,B F' U' F U B' F R' F' R,U2,50
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B R' D' R D2 L D' L2,L' F R' F' R2 U2 R' U' L,F U R' U' F' U R2 U' R',U B2 R' B2 U2 B2 R B2,D L2 U' R2 U L2 D' F2,B' D2 F2 L' U2 F2 D2 R' B',U',52
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R2 U2 B' D2 F U B L',R2 F R2 U2 R2 F' R2,R U2 R' B' U' R U R' B,U' R2 U2 R2 B' R2 U2 R2 B,B' U' R U B U' R2 U R,U B' D2 F2 L' U2 F2 D2 R' B',U,53
