scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_DBR_DFR,Step_GEN,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,total_moves
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B' R B2 U2 B' R',B' R U R' B,R2 U' L U L2 R U' L U R,B L2 B2 L2 B2 L2 B L2,U' B2 D' U R2 D,B2 R F R' B2 R F' R',U R' B2 F2 L D' L' B2 F2 R,59
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,L B L2 B' L' U,B R U2 R' U2 F' U2 B' F,L D F' D' U2 B U' B' U' L',L' D2 B2 D2 L D2 B2 D2,U' L B' R B2 D L B D' R' B2 L',L2 R2 D F2 D' L2 R2,F' U B' U2 F U' B U2,66
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U2 L' U L,L B R U2 R' B' L',R2 F' D' L D F R2,L' F' U B U' F U B' L U',U' L B' R B2 D L B D' R' B2 L',L2 R2 D F2 D' L2 R2,D B2 D' F2 D B2 D' F2,61
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U B L' B' U L,B R F U' F' R' B',D2 B U' L D2 F2 D2 L' U B' D2,U' B2 F2 D R2 D' B2 F2 U,U' L B' R B2 D L B D' R' B2 L',D' U R2 D U' B2,U R2 U' L2 U R2 U' L2,65
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L' B L U2 B',U B' U B U2,U2 B D B' D B R2 D' U2 F L2,U2 F2 U' B2 U F2 U' B2 U',F L D' L2 D F U' F2 U L' F' L,L2 R2 U L2 U' L2 R2,U R2 D' B2 D R2 U' L2,62
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R' U' R B' U B,U L U' F R2 F' L' R2,R D' B' R' F2 R U2 B D R',L' D2 B2 D2 L D2 B2 D2,R' B2 D2 F2 L' U2 F2 D2,B2 U' R2 U' R' U2 B2 U2 R' D B2 D' U2,F2 R' B' R F2 R' B R,66
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U2 B U B',R' D2 U L D2 U' R,F2 L' D F D' F' L F2,D' U B2 D U' L2,F L D' U2 B' U2 B D L2 B L F' L B',U' R2 U L2 U' R2 U L2,R F R' B2 R F' R' B2,61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,B L' B' L U,B U2 B2 U F' U B F,F' L' D' L' D U L2 U' F L2,F2 D2 R B2 D2 F2 L U2,F L D' U2 B' U2 B D L2 B L F' L B',R2 U2 B2 D' R2 D B2 U2 R2,D' U R2 D U' B2,67
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,L2 B L2 U2 B',B U' F' U B' L F L',L D L U' F2 U L' D',U L' B U' F' U B' U' F L,F L D' U2 B' U2 B D L2 B L F' L B',L2 R2 D F2 D' L2 R2,,58
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',L' U2 L,B D2 R U' R' D2 B',R2 F U' F' L2 F' L2 F2 U F' R2,R2 D2 U2 L2 D2 U2,F L D' U2 B' U2 B D L2 B L F' L B',L2 R2 D F2 D' L2 R2,F2 D B2 D' F2 D B2 D',62
