scramble,orientation,Step_UB_UF_UL_UR,Step_FD,Step_RD,Step_DBR_DFR,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,U',B2 R B2 R',L R2 B2 L B2 U' F U R2 F L' F2,,L2 B R B' L2 B R' B',R2 D F2 U' F2 U F2 D' R2,U2 R' B' U F U' B U F' R U,51
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,U',B U B',U F2 U' F U F2 L F' U' F' L' F2,F2 R' B' R F2 R' B R,L2 B R B' L2 B R' B',L' F' D' B' U' L U B D F,U' R' F U' B' U F' U' B R U2,58
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',B' U' B U,U2 L U2 L',B2 U F U' B' U F2 U F U' B',R U R B2 L2 D L D' L B2 R2,L2 D' F2 D L2 U' R2 U,L2 D B2 D' L2 D B2 D',R' B' R F2 R' B R F2,60
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,U',F R' F' R,B' U B2 U2 F U B' F',U2 B F' U2 L2 B' F L2,U' L2 D' U B2 D,F2 R' B F' U2 B' F R' F2,B2 D' F2 D B2 D' F2 D,50
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',R2 B' R2 B,R B2 R' B' U B',B2 D' L U L' R' F U F' R' D U',B2 D2 L U2 F2 U2 L' D2,U' F' D' U L U L' D U' F,L2 F' L2 F2 L2 F2 L2 F',D2 F2 U2 L F2 D2 B2 R,61
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,,R' F2 R F2,U B R2 B R2 B L' U' L D L D',R' D L R2 U2 R U' L' B2 U' R2 D',B2 D' R2 D B F' U2 B F U,L2 U R2 D' B2 D R2 U',U' F2 D L2 D' F2 U B2,60
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,U,R B2 R' B' U B',U' L2 F' L2 U F D' L F2 L' F2 D,L2 B F' L2 U2 B' F U2,U' F' D' U L U L' D U' F,B' L' B2 R' D' B2 U B2 D R B' L,U' L2 D' U B2 D,61
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,L' U L,F R' F' R,F2 L2 R' F L2 D2 L' D F2 D F' R,U R2 D' B2 D R2 U' L2,L2 D' F2 U B2 U' F2 D,L' F' D' B' U' L U B D F,,51
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,B L' B' L,,L2 F D' R2 B' R2 D B F2 L2 B' F,L' B L2 F' L2 B2 U B L U F2 U2 F',,D2 R2 U2 B2 U' B2 U' R2 D2 F2,R B F' U2 B' F R,51
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,R2 B' R2 B,U2 L U2 L',U L' U' R2 B R U2 R' B' L R2,D B2 U' F2 U B2 D' L2,L2 U' R2 D F2 D' R2 U,U2 L' R' U2 R U L U2 L' U' L U,B L' D' B2 D L U' B' U L' B L U,65
