scramble,orientation,Step_FD_RD,Step_DBL_DFR,Step_FR_UFR,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_GEN,Step_UB_UF_UL_UR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',F2 R D2 L' R',F2 D2 L2,L' B U' R U B' L,F' L' B D2 B' L F,F' U2 B' R2 B U' B L B' U',R' F' U2 L2 D2 B' L2 U2 R',R2 D' B F' R2 B' F D' R2,54
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,B' L' D B,B' D' B' F L B2 F',L' R2 B U2 B' L R2,L' D' L D',B' L B F' D' F,F2 D' B' F L B F,F2 D B' F L2 B F' D F2,48
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,R D' F R',B F D B' D' F',F U' R' U,U' L' U2 L U2 L U' B' U2 B,U B' D' B' D U' L2,,B' D' L2 B2 R2 U' R2 B' F' D2 F,45
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',B' F2 L D2 B,L U2 B U2 L',U L2 U2 F2 U,R' F L2 F' R,F' U2 R2 B' D' R' B R' U2,L U B L U' L2 U2 R D' R' B U2,D' F2 L2 F2 D L2 F2 L2 D2,53
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,R F' D2 L' R',U2 R B2 D2 B2 R' U2,D L D B D' B' L',F D' F L F2,L U B2 R D' L' D2 R' U' L,R U2 L2 B D2 L2 U2 F R,F2 U' L2 B2 R2 D L2 F2 R2 U2 F2,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',B' D2 L B,U F2 D' R D R' F2 U',L2 F' D2 L2 F2,F' L2 D F' D' L2 F' L2 F2,L' U2 B U' L B U',L2 D L' R F' L' R',B2 U B' F R2 B F' U B2,53
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',R F2 D' F R',F L F2 L' B2 L B F D' B,L F L D L2 F2,D',F' U2 R' U2 L2 D2 L2 F,F2 L B' L B2 D2 B' L' F L' F2 D2 F',L2 D' F2 L' R' D2 L' R D' L2 F2,58
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',D' R D2 F R',L' U' F R U F',F D' F',B' U2 B' U2 B' F2 D B' D F2,D2 F2 L D2 L2,D' F L F R' D2 R D' F D L2 F L,D' F2 D' L2 F2 L2 D' F2 L2 D,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',F' L2 R D' R',F U2 R' U2 F',D R' D2 R D,B2 U' R U B' U' R' U B',B' U B' L' U' L B2,D L' F' L' B D2 B' D L' D' F2 L' F',U B D2 B2 D2 B2 D2 B U',57
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,R' D' R2 F D R',F2 U R D R' D' B' D B U' F2,L' F L D2,R2 B F2 D' B' D F2 R2,U' F U F D' F2 L2,D' F L F R' D2 R D' F D L2 F L,L2 F2 D' F2 L' R' D2 L' R D' F2,62
