scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_FR,Step_BL_UBL,Step_BD_DBL_DBR_DFR_LD,Step_UF,Step_GEN,Step_FD_RD,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,L' B' L,F D' L F' L' D F',R' F R F' L2 D F L2 B' U2 B,L R' B L' R D',B2 D B F' R' B F,D L R' B2 L' R D,46
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B' L2 U L' B,U' F2 L D2,B,B2 L B' L' D' B' D B',U R' F R2 F2 L F' L' F2 R',B F' R B' F D',B F' D' F D B' F L' F' L,U F2 L2 B2 R2 B2 L2 U',52
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' D L' D',D L2 F2,B',F' U2 F U2 F,F2 L R2 D' L' R2 U L D L' F2,L B2 L' R D2 R',R' D B' D' R' D B D' R2 B' R' B,B2 D B2 R2 B2 D B2 R2,50
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,B' U' R B' R' U' B2,U B' U' R2 B,U2 B',F',B' R' F2 L' F' R' B F2 U2 F' D F2,L R' B L' R D',B F' D' F D B' F L' F' L,F D2 B F' R2 B',49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B2 U B2 L',U2 F2 U' F,B,B' F2 R2 B F' U' F',R U B U' B2 U' B' U B U R',D' L R' B L' R,B D' L B' L' D' L B L' D2 B' D',B2 D B F' R2 B' F D B2,54
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U2 F2 D' F L2 F,B R' B U' R2 B2,R,L U F' D',R U2 L R2 F2 L' F R F' U,R D2 L R' B2 L',R' B' R2 D2 R' D2 B' L' D2 L D B2,U F2 L2 B2 R2 B2 L2 U',53
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D,L' U L U2 F2,U B',L' B L' B' L2,U2 B' L' B D R B L' F' L2 B' R',B F' R B' F D',R' B2 L' D2 L D' B R2 B R2 F' R F,F2 L2 B2 D' B2 L2 F2 U',52
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B' R B' R' U B2,F D' F',L2 B2,U L2 B' L' B,U2 F2 R' B R D2 F L2 F' D' F2,,B U2 L U' F2 D R' D R D2 F2 U' B',U F2 L2 B2 R2 B2 L2 U',48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B2 R' U' R U B2,F L U F2,L B2,U F U F' L,D R2 U' L' R' B L2 B' R2 F L' R,R2 D R2 F2 L R B L' R' F2,R' B' D2 R2 D2 R D2 B' L' D2 L D B2,,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',R2,R' F R,B' R B R2 U2 L F' R' F L' R2 U2,R D2 L R' B2 L',B' D' F' R' D R2 D' R' D2 R' D' B F,D L R' B2 L' R D,48
