scramble,orientation,Step_UF,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BL,Step_FR,Step_BR_UBR,Step_FL_UFL,Step_GEN,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B,R2 U' F2 R,L' F' L B D2 R U2 F R' B',L2 D' L D L2,R B D2 B' R',F D B D B' D' F' D',B' D' B2 D' B2 D2 B2 D2 B',B' L' R2 F L' B' U2 B L2 F' R2 B,54
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 D',F' L' F' U2,R' B D U' R2 F R' B' D2,L2 D2 L D2 L2,R B D2 B' R',L2 U' F U L2,L' F' L B L' F L B',R F' R' B F D F D' B' F',48
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,,B L' U' B' R',F D2 R B2 U R B2 L2 D2 R',F' L2 F2 L2 F,U B' D2 B U',B U R' D R D2 U' B',D' L' D L B D B',D2 B D2 R D' R' D R D2 R' B' D',52
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,B U L' B',F L2 R' D2 B2 U' L2 R B2 D2,B U2 F' D F U2 B',R B D' B' R',R B2 R2 B2 R',L2 B2 R U' F U R' B2 L2,B F D F' D' B' F' R F R',53
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 D',F' U2 R,B2 R' B' D U' B' L R F2,F' L2 F2 L2 F,R' B' F D2 B F' R',B D2 U R' D' R D' U' B',B D' B',B L' U2 L D L' U2 L D' B',48
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U2 B2,R2 F' U2,R B2 L B' F D' B2 D2 U2 B,B U2 F' D F U2 B',,U2 R F' R' F U2,B F' U F D2 F' U' B' F,L2 F2 L F' L' F2 R F L2 R',47
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B',F2 U2 R2,F2 L' B F2 D L F' L' B' L2,F' L2 F2 L2 F,U B' D' B U',U2 R F' R U' R' U R' F U2,B2 R2 D R' D' R2 B2,B2 L2 R F' R' F2 L F L' F2 L2 B2,54
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' D,U2,R2 F2 L D R' D' R2 D F' D',L2 D2 L' B D' B' D' L2,U B' D2 B U',U2 F' R U' R U R' F R' U2,D' L' F L' F' L D L,B2 L2 R F' R' F2 L F L' F2 L2 B2,56
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,,U' L' U,R D2 R' D2 F2 U L U2 F U,,B D L R' B2 L' R D B',U2 R F' R' U' R U F U2,L' D F' D' F L,L2 R F' R' F2 L F L' F2 L2,47
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D',R' B L2 U B',U2 L D2 B' D L' B D U2 L2 F2,U' F2 U' R' U F2 U,D R B R B' D' R',D2 F L D B D2 B' L' D' F',D2 L' D2 L,F' U2 B2 L' D2 B2 U2 R' F',55
