scramble,orientation,Step_FD,Step_RD,Step_DBL_DFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_UB,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,D B2,B' F' U' B F2 R D L2 F',B2 U' L2 R2 U B2,L2 D2 F2 D',L2 U2 R2 U2 L2 D2,F2 L' D L' D' L2 F2 L' D' L,R' D B F' R2 B' F D R,L2 B2 R2 F2 R2 B2,52
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,D B2,L' D2 B' U2 L2 D' L B,D' B2 F2 L2 B2,F2 D2 F2 L2,D F2 D2 L2,F2 D F2 U B2 U',F2 D' L2 U L' U2 F2 D2 R U' B2 D' U2,L' F2 L R' D2 R,48
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' B',D L F D' R U' F D' B U,R2 F2 U' F2 U R2,B2 F' R' B L' B2 R2 D2 R' B' L F,L' D U' F2 D' U L',L' U L2 U' R' D' L D R,U L2 D2 B2 U',D B' F L2 B F' D,58
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,U L' B',F2 L B' U L B D R F',R2 B2 R2 B2,L F2 D2 L D2 L2 F2 R F2 R' F2,D F2 D2 L2 D,L' U2 L' D' L U' L' D U' L,D',L' F2 L R' D2 R,49
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,R2 F' U' B2 R D U R,D R B2 U2 B2 R',B2 U2 F2 L' U2 B2 D2 R',L' U L2 U B2 D R' B2 U2 L F2,L2 U2 B2 D U2,R D B2 F2 U' B2 F2 R',L' F2 L R' D2 R,53
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,R2 B,F U2 F U R2 D' B' R' B2,R2 D L2 D' F2 R2,D2,L2 U2 B2 R D2 B2 U2 L',F' L' B L B2 U2 F R F' U2 B F,F2 D F2 U B2 U',F2 U' B2 L2 F2 D' B2 R2,52
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L' U,L R B D' U2 F D' U B',F2 R2 U' F2 U R2,R F2 D2 B2 L U2 B2 D2,D R' B D' F' D B' D' F R,D' L2 D2 F2,B2 U2 F2 L' F2 U2 B2 R',,47
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F' L2 D L F2 L2 D F',L2 B2 L2 B2,L' B F' D2 B' F L',D F2 L2 F2,F' L' B L B2 U2 F R F' U2 B F,F2 L' D' F2 U2 R' U' L U' L',B2 R2 U F2 R2 B2 D L2,54
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D2 B2,B2 R U2 L' B' U R2 D' B',B2 R2 U2 B2 R2,B2 F' R' B L' B2 R2 D2 R' B' L F,U L2 U2 F2 U,D' F2 D F2 D L2,D2,D B' F L2 B F' D,47
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L' B',R U L' D2 B2 U' F' R2,B2 L2 U' R2 U B2,B2 D B2 D' B2 D',,F2 L2 D' F2 U2 B2 U R2 U,B' U2 B' U2 B2 L' B L B2 L' B' L,L' F2 L R' D2 R,49
