scramble,orientation,Step_DBL_DBR_DFR,Step_FD_RD,Step_UB_UF_UL_UR,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_BD_LD,Step_GEN,total_moves
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,L B F2,U2 B D' B L2 R' B2,U2 R B D' R D' B U2 F2,D B2 D' L U R2 U' L',L' B' L' B' L B D' B D L,B2 L B U' B2 U' B2 U B L',L U L' U B' R B' R' B2 U2,,,57
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,B D2 R2 F,U F' D2 U2 L' B U,F U' R U2 B L2 D U' L,L U' F L' F L F' U L',R2 F R B' U' B R' F' R2,,L U' R' U' L' R D L U2 L' D',,,49
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,U L U2 B' L,B' R B2 F2 L' B' F2,L D2 L' F' L2 D2 L2 F' L,R U R B2 L2 D L D' L B2 R2,B2 L F2 L' B2 F' U' F2 U F,F2 U' F' D2 F U F' D2 F',D L2 D B2 U' F2 U B2 D2,,,60
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,R U' F,R' F2 L2 U' L' B' F2,R B2 R' U L2 F2 U B2 R,D' F' D B D' F D B',F' L B D2 F2 D' F D' B' L2 F2 L,F U2 R2 U' R2 U R U' R U' F',R' B2 D2 F2 L' U2 F2 D2,,,58
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,L' F2 U2 L2 U',U F' D U' B2 R,F D2 L' D' U B' L U2 F2 U,D B D' F' D B' D' F,U L' B L' B' L2 U2 F U F',U R' B' R B' D2 F L' F' D2 B2 U',R' B2 D2 F2 L' U2 F2 D2,,,59
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,L2 B' R U F2,U F' L U B' F U2,L' D2 L F2 L R' D' R F',L2 B R' F2 D2 F2 R B' L2,F U R2 F' U' F R2 U R2 U2 F',L' B2 L U' L' B2 R2 D' R' D L R',L U2 L U L2 D' R B2 R' D,,,63
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,L B2 U' L2,R D U2 L' D' U L U,F' D2 U' R F' D U B D2 B',R U B' R2 U R2 B U' R',U' F U L U' F' U F L' F',U B F U' B' U F' U2 B U' B' U,L' B L U' L U L' B',F2 L2 B F D F' D' B' L2 F L F L',,74
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,R2 D F2,U2 L2 R2 B U B F2,L' U B2 L' D2 U B D2 U2,R' B R F' R' B' R F,U L' D' B2 U2 B U' B D L2 U2 L',U B U B' U' L U' L',U L U' L' U' F U F',,,55
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,F' U' F U',R D R2 D2 B2 R' B,U2 B R2 B' U2 B D2 B',F D2 U' R B R' B' D2 F2 U F,U L2 D B2 D' B' D B' D' B2 L2 U',U L' D' U B U' B' D U' L,R D L' B2 U2 B2 L D' R',F2 L2 B F D F' D' B' L2 F L F L',,74
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,D2 R' F2 U',F' R B' F U' L U,R D' B2 R2 B2 D' R',U2 R B2 L' B2 L U2 R',D' L2 F' L' F L' D F' D' L' D F,U' F U' F' R' F U2 F' U' R U,R B D' B' D' B D' B' D2 R',F2 L2 B F D F' D' B' L2 F L F L',,72
