scramble,orientation,Step_FD_RD_UF,Step_DBL_DBR_DFR,Step_BR_UBR,Step_BL_UBL,Step_FR,Step_FL_UFL,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B' L2 D B2 R',D2 B2 F' D B2 L' R2 B' L' U R2,U2 R' D2 U2 L D2,,B2 U2 F2 L' F2 U2 B2 R',L U' L2 B2 R2 D' R2 B2 L,39
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,B L' U' B' R',F' L B' R F R' D2 B L' F2 L,R2 U L2 D' F2 U' L2 D,L2 D2 L2 D2 L2,B2 U2 F2 L' F2 U2 B2 R',L' D L F2 L2 D L D' L F2,47
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,D F U B2 R,R' B F2 D' F' D2 U2 B R' B2 F,L U' R' F2 R2 U2 L' U R' U2,B2 D U' L2 D' U,,L' B2 U2 F2 R' F2 U2 B2,40
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 D' F' U2 R,L B2 L' B' D F R U' R' F2 D' B',R2 B2 R' F' R B2 R' F R',L2 D' L2 D L2,U2 R' D2 U2 L D2,L' B2 U2 F2 R' F2 U2 B2,45
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,U L' F2 U' R B',R' D2 L B D2 U2 R D2 B' D' F D',R F R' B2 R' B F' U2 B' R' B2,L2 D2 L2 D2 L2,,B2 R' U R B2 L2 D L D' L,44
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F L2 R B' R2,D' F' L2 F' L U' L' D F L U,R' B2 U' F2 L2 B2 D' F2 R',D2 L' F2 L F2 L2 D2 L F2 L,R' B' F D2 B F' R',U2 F2 U L2 U' F2 U2,49
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B' F2 D2,F R U2 R2 U2 B' D B R F2 L,L' F2 L D2 L2 F2 L F2 D2 L,U2 F2 D F2 D' F2 U2,R' B' F D2 B F' R',L2 F' U2 B' R U F' R U2 B U' L,50
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,F' D' B' F2 L F2 D2 B D' L,L2 D' L2 D L2,F' R D' B' U2 L2 U2 B D R' F,U2 F2 D2 F2 U2 B2,B2 U2 F2 R F2 U2 B2 L,43
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' D U2,R D' F2 D' B2 L' R U B2 D2 R2 F',R U2 F L2 F' R' B D2 B' R U2 R',U' B' R D F2 D' R' B U,F2 D U' R2 D' U,D U' B2 D' U R2,48
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B' L F D' U2,R B2 U B' F' U' B' D' U B' U' R',D2 R2 D2 U2 L2 U2,B2 R F2 R U' R2 B2 L2 D L' D2 L',U F2 L' D2 F2 U2 R' B2 U,,44
