scramble,orientation,Step_UF,Step_GEN,Step_DFR,Step_FD_RD,Step_FR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B,R2 B D L' B' F R',U,L B' D' F2 D B L' U,U2 R2 U2,F2,B2 U' R2 U B2,U L B U' F' U B' U' F L',36
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 D',R D2 L' F' D U' R2 B',R2,L B2 D2 B2 L U R2,U2 R2 U2,D U' R D2 F2 D2 R' D' U,U2 B2 D' R D2 B2 U2 L,L2 F2 D F2 D',43
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,,L' B' F' U2 R' B U' F',,L B2 D2 B2 L' U' R2,U2 R2 U2,L' U' L2 B2 R2 D' R2 B2 L',U2 B2 D2 B2 U2,F2 L2,34
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,U R2 D' L F L B' D,U',U2 F2 U R2,D' U2 B2 D U2,L B F' D2 B' F L',D U2 R2 D' U2,U L B U' F' U B' U' F L',43
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 D',U' F R2 B' U' B,L2 U2,R D2 B2 D2 R',U2 R2 U2,F2 D2 L2 D2 L2,D L D2 F2 D2 L' D',B2 R' U R B2 L2 D L D' L,40
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U2 B2,U' B U F L B' L',U2,R2 U R2,L' R U' B2 R2 B2 U L R',R2 D2 L F2 D2 F2 L' D2 R2,L2 F2,D' U B2 D U',38
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' D,R2 F2 D' U2 L F' D,L2 U,U L B2 F2 R D' B2,U2 B2 L' B2 U2 F2 R',R2 U2 R' U2 F2 U2 R U2 R2,U B2 R D2 B2 U2 L U,D F2 D',45
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B',R' F' U F' U2 L2 U' F',U2,D2 L D2 U2 R F2 U R2,D2 U2 R' D2 U2 L',F2 D2 L2 D2 L2,D' L' D2 F2 D2 L D,L D U2 R B2 R' D' U2 L',46
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D',R F' L2 R2 B L D' B',L2 U2,B2 U' L2 D' F2 R2,U2 R' D2 U2 L' D2 F2,B2 U2 F2 R F2 U2 B2 L',D' L2 D L2 F2,U B2 R' F2 D2 B2 L' F2 U,47
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,,L2 B F D F2 L U B',U,U2 R2 F2 U R2,U2 R D2 U2 L' D2,L' U2 B2 D2 R' D B2 U2,U' R' B' F D2 B F' R U,U L' B2 D2 B2 L U',44
