scramble,orientation,Step_FD_RD,Step_GEN,Step_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,total_moves
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',L2 D2 B R' F' U2 B' R',F2,U L2 U2 F2 U,R2 F2 D2 L B2 F2 R B2 R2,U' R' U L F2 L' U' R U,L' U L2 B2 L' U' F2 U' R D2 R' U F2,F' R D' B R' B' F D F' D R' F,61
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',B' L F' L R2 U R2 B,R2 F2 U' F2 U R2,L B' D' F2 D B L',F2 D',L2 F L2 D R D2 R' D' L2 F' L2,F2 R' U L2 R' B2 R2 D L2 R' U' R,B2 U B2 L' F2 D2 B2 R' F2 U B2,62
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F D L F2 L' F D F',D',R B2 U2 B2 R',B L B' U L' U' B L' B',U2 R2 U2,F2 D2 B D2 R2 F2 R2 B' D2 F2 L2 F L2,L' U L D L2 B2 L2 D L2 B2 L U' L,56
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',L F U2 B D' U2 F',D',R D B F' R2 B' F D R',B2 U2 F2 R F2 U2 B2 L,B2 L2 B2 D2,L' B F2 D B' F2 L' F' D F' D' F2 L,L' U L D L2 B2 L2 D L2 B2 L U' L,59
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',U' F L' R F2 D F L U,,F2,F2 D L' D2 F2 U2 R' U2,L2 F L2 D R D2 R' D' L2 F' L2,U' L2 D R2 U' F2 R2 U' L2 U B2 U2,L B' U' F' D' L' D F U B,54
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,F L' R2 F2 U F' U' R2,,F2 D L2 F2,L B F' D2 B' F L,R' D' B F' R2 B' F D' R,B' R B' L2 B R' U F' D2 F U' B,R2 D B F' R2 B' F D R2,52
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',D B L F2 D2 L' D B',L2,L2 U2 R' D2 U2 L',L F2 D2 F2 L,B2 D' F2 D B2 D' F2 D,B2 F2 L2 R2 U L2 R2 B2 F2,R2 B2 U2 L2 B' F' U2 R2 B' F',51
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F' L2 D L F2 L2 D F',L2 D,D' L2 U' F2 U,L U L2 U' R' D' L D R,U' F2 L' F2 U2 B2 R' U',U L' B2 U L U2 L2 R D' B2 R' B2 L2,F' R D' B R' B' F D F' D R' F,58
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,R2 F' U' B2 R D U R,L2 D,U2 R U' L' B2 L U R' U2,D2 U2 B2 D U2 F2,L2 B2 D' B2 D B2 L2,B' D B' U B D B' L' U' L B D2 B,,46
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',F2 R D2 L2 D' R' F',F2,R B D F R2 F' D' B' R',U B2 U',B2 U2 F2 L' F2 U2 B2 R',L' U2 L' D F2 R U' F2 D2 L B2 D U2 L,L F' D' L' F D2 F' L D F L' D2,58
