scramble,orientation,Step_DBR,Step_FL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_UB_UF_UL_UR,Step_DFL,Step_FD_RD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' F' R2,B2,R' D2 F2 D2 R D,R' F2 D2 F2 R' U R2,R' U L2 R2 D' L2 R',F2 D' L2 U R2 B2 U R2 D' L2,L2 U L2 U L2 U2 L2 U,B2 U L' R B2 L R' U B2,56
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' B2 F' U,,L' U L2 R2 D' L' R2,L U2 B2 D2 R F2 D' B2,F2 U2 R2 F2,D2 L2 B2 F2 U B2 F2 D' L2 D2,L2 U L2 U L2 U2 L2 U,B2 U' L' R B2 L R' U' B2,54
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D L2 B' R' F,,L' U L2 R2 D' L' R2,R' U2 F2 U2 R D2 F2,R' U' L2 R2 D L2 R',L2 F2 U' F2 U2 B2 D B2 L2 U,B2 U' B2 U' B2 U2 B2 U',B2 U L' R B2 L R' U B2,54
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U R' U L' B' D F L',R' U2 B2 U2 R,D' B2 L2,R2 U' R' B2 U2 B2 R',D L2 D L' D2 B2 D2 L' D2,B2 L2 D R2 B2 L2 U B2 F2 L2,L2 U L2 U L2 U2 L2 U,U' B2 U L' R B2 L R' U B2 U,61
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' R2 D' B' R B' L',F2 L2 U2,L' R2 U' L2 R2 D L',L' R U R2 F2 R2 U' L R',F2 L D2 U2 R B2,U2 L2 D L2 R2 U' R2 U2,B2 U' B2 U' B2 U2 B2 U',L2 F2 D2 R2 B F D2 L2 B F,58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,R2 D2 L2 U' L F' R B',B2,U L2 D' L B2 U2 B2 L D,R' F2 U2 F2 R' D2,U' L U2 B2 U2 L' U,B2 D' B' D F' U2 F D' B' R2,B2 U' B2 U' B2 U2 B2 U',B2 U L' R B2 L R' U B2,58
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D2 B' D' R',,L2 B2 L2,B2 F2 R D2 F2 D2 R' B2 F2,R2 B2 U2 B2,L2 F2 L2 R2 B2 R2,L2 U L2 U L2 U2 L2 U,U2 B2 U' L' R B2 L R' U' B2 U2,47
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F D' B R B' D2 L',U2 L D2 U2 R',R2 U R' D2 F2 D2 R' D',D2 B2 R' F2 U2 B2 L' F2,R F2 U2 F2 R D,D F2 L2 F2 D B2 R2 B2,B2 U' B2 U' B2 U2 B2 U',U B2 U L' R B2 L R' U B2 U',62
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R2 B D F2 U' F,L' R2 D L2 R2 U' L',L' B2 F2 R F2,F2 L B2 F2 R',R' F U' B' U F' U' B R,F2 L2 F2 D' F2 L2 F2 D',B2 U' B2 U' B2 U2 B2 U',L2 F2 D2 R2 B F D2 L2 B F,58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B2 F' D2 B L' U F',F2 L' D2 U2 R',L D R F2 R' D' L',D2 B2 R' F2 U2 B2 L' F2,F2 D2 R2 D',R2 D R2 B2 U F2 U' F2 D B2,,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,54
