scramble,orientation,Step_UF,Step_FD_RD,Step_DBL_DBR_DFR,Step_UBL,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_GEN,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B L B' R2,B D2 F' U' F2 U B',U B' D B U',L D2 L' U2 R' D2 U2,L2 R D R' D' B' D' B L2,U' R U' R' U2 F2 L F L' F,F L D F D' U L' U' L' F',54
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U' R',B' D2 F2 D' B F2,L' U2 R U2,F2 R2 F' L F R2 F2,U2 R' U F U2 L2 U R U' L2 U',U R2 F' U F R2 U R2 U2,L2 F L' B F' D B' L2,49
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B' F2 R B,F R D2 L' R2 D2 R,B D B',F' D' U L2 D U' F',D2 L' U L D2 F2 U R U' F2 U',R F2 L' F2 R',F U' B' D2 L' F' L B R2 U,48
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B',F2 L' B' D B L2 F2,L' B D' B' L2,R D' L2 D2 F2 D' R',U' F R B' D2 B D' F D F2 R2 U,F L2 F' R B' F2 U2 B F2 R',F' U2 B2 R' D2 B2 U2 L' F',56
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F2 R2 U',R' U2 R2 B2 D' L B2 U2,L' U' F U,F' R B2 R' B' D' B' R' F L,U L' B L U L' B' L U2 F R F',L U2 R' D2 R D2 U2 L2,F' R U2 B2 D2 L B2 U2 F',56
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R,D R' B U' B' D' R,U2 R U2 R F2 R',D' F L' F' D,U R2 F' U F R2 U R2 U2,U R' F R2 B' R F D2 F2 R B U',F' U' R2 B2 L2 D' B2 R2 F',52
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',B' R' D2 R D2 B F',,U L' D U' F D',U B U B' U2 F R F' R',U2 L R U' R' U L' U2 R U' R',U2 B' F' R B' F D' B2 U2,44
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F R2 U' R',F2 R F2 L2 R F' R2,U B' D2 B U',B F' D B' F L',R B2 R2 B2 R',L F L U2 L2 F L F' L U2 L2,F U' B' D2 L' F' L B R2 U,51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U',D F2 D' B' D2 B L' F2,B' U2 F' U2 B,F R B D B' R' F',U' R2 F2 D' F' D B' D2 B R' F' U,U R2 F' U F R2 U R2 U2,U2 B' F' R B' F D' B2 U2,56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F R2 U' R',B2 R' B' U2 B' L R F2,R2 D2 R D2 R2,L2 U2 L' U2 R B2 R' B2 L',U' F' U2 B2 L D L2 B2 U R2 U2 F,D2 U' R U L D' F' D',U F' U' R2 B2 L2 D' B2 R2 F' U',60
