scramble,orientation,Step_LD,Step_BD_DBL_DBR_DFR,Step_UB_UF_UL_UR,Step_GEN,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_RD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B U',B' L2 B2 F' L' U' L',R U' B' F' D' F U B D,R2 D2 U' L' D' U B D' R2,R' D F' R B2 R' F D' R,U2 F2 U' B2 U F2 U' B2 U',F' D2 B D2 F D2 F' D2 B' D2 F D2,,57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L',R2 B D2 F2 D F',R' B' R D L' D' L,F' L2 F D' B2 U B U2 B D,F2 L B' D2 R D2 B L' F2,U L' B' F U2 B F' L' U',L2 D' U B2 D U',,48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B2 L,D2 R2 F' D' R' F2 R2,R' U2 R' D' B R' B' L R2 U2,U' B L' B L B2 L' U' L U2,U2 F' D' F' D F2 D' F' D U2,B' R U F2 R2 F2 U' R' B,R' B' D' F' U' R U F D B,R D2 U2 L' U L D2 U2 R' U',68
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' B' L,B U2 B2 L' U2 F,R' B' D R D B R' D2 B',R' U2 F' D R2 B U B' R2 D' U2 R,F2 L B' D2 R D2 B L' F2,R' B D' B R' B R B' D B2 R,R' B' D' F' U' R U F D B,,60
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' L2,D' B R2 B,B2 U' F' L' F' D U B L D2,B R' F2 R F U F2 U' B' F',U2 B2 D2 R F2 D2 B2 L,D2 R U2 R' D2 R U2 R',U' F2 U B2 D' L2 D B2,R D2 U2 L' U L D2 U2 R' U',60
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B' U',L' R F' D2 L R2,D' U2 F U2 B' L' D' L D',L2 U2 B L2 B' L2 F U2 F2 L2 F,B2 D2 B2 R' D2 R B2 D2 R',B2 U2 L' U R B2 R2 U2 L U' R B2,R' B2 F2 R B R' B F2 R,R D2 U2 L' U L D2 U2 R' U',68
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B L,U2 L D' U2 B F,R' D2 B2 R' B D2 B2,U F R' F R F2 U2 L' U' L U2,F' L' U2 L R' F' L2 F' R F L2,L U2 L2 B U2 B' L2 U2 L',U2 F U B U2 F' U' B',U R D2 U2 L' U' L D2 U2 R',65
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D L2,R' B' F2 R' B' F' R2,U F2 R' D2 R' F' U' R B',B2 D U2 L D' U B' U B2,B' U R' B R B' R U' B,L F U2 F D2 B' R2 B D2 F2 L',D' U B2 D U' L2,,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,,D2 F2 R' F D F2 R2,F' L B' U2 R' B U L' D' F,U F R' F R F2 U2 L' U' L U2,R' U2 F' D' F' D F2 U2 R,,D2 R' U R U2 L' U' L D2 U2,U R D2 U2 L' U' L D2 U2 R',57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B' U',D' B F' D' R' F2,B' R' D B' D' R2 B D2 B',B F' D F' D' F2 L2 B' U' B L2 B',F' R' B2 L D2 L' R F' R' B2 R,R2 B2 R B2 R B2 R B2,U F' U F U' R' U' R,U R D2 U2 L' U' L D2 U2 R',66
