scramble,orientation,Step_FD_RD,Step_UF,Step_GEN,Step_BD_DBL_DBR_DFR_LD,Step_FR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F' D2,L2 F2 L R F' L2 F' R',R U2 L2 R2 F2 U2 L U L2 R2 F2 U2,,D F2 D' U L2 U',L' D2 B2 U2 R' F2 U2 B2,D B' L' B2 F' R' D' R B2 F L B,52
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',F2 D2,L' R U' F' U F2 R',D2 F2 D' L' B' D' F2 D B L' D,,U' B U2 L B' D2 B L' U2 B' D2 U,D' U2 R' D R D2 R' D' R U2,U2 F2 D F2 D' F2 U2,53
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',U2 B U2,D2 L2 D' B F2 R' B' D' R,L2 F2 U' R2 B2 R2 B2 U L2,,,U R2 D U' B2 D',B R B' L2 U' F2 U L' B R' B' L',43
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',F L D',R2 B' R' F' D2 R U' B R2 F',D' B2 D' F2 R2 U' R2 D F2,R2 D2 R2 D2 R2,L2 D B2 U' F2 U B2 D',L' D2 B2 U2 R' F2 U2 B2,L' F U B D L D' B' U' F',58
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,F2 L D',F2 D F' R D' F' R',F2 L B D L F2 L' D' B' L',R B2 U2 F2 L F2 U2 B2,D U' L2 D' U B2,D F2 D' U L2 U',U2 R2 U L2 U' R2 U L2 U,50
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F2 D2,L F R F D F' D' R',R' B2 F2 L U' L2 F2 R2 U2 B2 D',B2 U2 F2 L' F2 U2 B2 R',B2 D B2 D' B2 D,R B' F D2 B F' R,D2 L2 D2 L2 D L2 D L2 D',52
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',L2 D',D L2 F2 R D2 L2 D' R' F',U L' F2 L U2 R2 F2 L U2 L' U L2,U F2 D U' R2 D',B2 U' F2 U' R2 F2 U2 B2 D L2 D,D2 R D2 B2 U2 L U2 B2,R2 D2 R2 D2 R2,57
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',B' L' B,B' D B L B F2 D B' L F',D' R' B2 F2 L' F2 U B2 D' F2 R2,U2 F2 D2 F2 U2 B2,B2 L2 D B2 D' L2 B2 D,L2 D2 L2 D2 L2,B R B' L2 U' F2 U L' B R' B' L',58
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',L2 D',D' F' U' L' D L U F' L',D' B2 L' R2 D2 B2 D2 L B2 R2 D,F' D' U L F' L' D U' F R,B2 D B2 D B2 D2 B2 D,D' U L2 D U' F2,B2 R B2 U2 F2 L F2 U2,58
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,,F L' R2 F2 U F' U' R2,U R2 B2 F2 D B2 F2 L2 R2,R B2 U2 F2 U2 B2 D2 R',B2 F2 R U2 R F2 R2 B2 D2 L' F2 L' F2,R2 B2 U2 L2 U2 B2 R2,D B2 R2 U F2 U' R2 B2 D',57
