scramble,orientation,Step_GEN,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_FD_RD,Step_BR_MD_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,R F' D2 B L D' F',U F2 U B2 D F2,D' R B2 R2 D B2 R2 B2 D R D,R2 U R D2 U2 L' D2 U R2,,,,,33
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,D' B2 R' B' U2 R' D' B',D' B2 F2 L2 R2 U B2,B U R' D U' B' D' U R2 U' B',U' B D U' L' U L D' U B',,,,,36
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 R' F2 L B D U2 F',R2 F2 D B2 L2 D' F2,B2 L2 F2 R2 D' L2 B2 U' B2,L' B2 F2 R D R' B2 F2 L U',,,,,34
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,R' F L' R' F2 D' B',R U2 F2 U2 R U B2,R' U2 L F2 D2 L2 U2 R' D2 R,B2 D U2 L' D2 U2 R D B2,,,,,33
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,R' U2 R B D' F R2 B',F2 D L B2 F2 L2 R B2,B2 D2 B2 U R D2 U2 L' U B2,R2 U R' D2 U2 L D2 U R2,,,,,35
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' U F2 L2 U L F',D U L2 R D2 U2 L B2 U',R' D2 R U B R F2 R' B' U',U' R B F' U2 B' F R U,,,,,35
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U F' U B D' B',L B2 U2 B2 L' U B2 L2,L D2 B2 U L2 R2 U' L2 D' U' L',L B' F U2 B F' L,,,,,33
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R B F2 R F' D B',D2 R2 D L2 R D2 U2 L,D F' U2 L2 B' F D2 L2 F U2,L' B2 F2 R D R' B2 F2 L U',,,,,35
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,R2 F2 D L' F D' B R',U' R U2 F2 D2 L U' L2,D' F2 U L' F2 L' R D2 L F2 U' F2,B R2 D B' D U' L D2 U R2 B',,,,,39
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,U R B' F' L' U' F',R2 D2 B2 F2 L2 U' B2,D2 F' R U' L2 D2 B2 U' L' B U2,B D U' L' U' L D' U B' U,,,,,35
