scramble,orientation,Step_DBL_DBR_DFR,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_UB_UF_UL_UR,Step_FD_RD,Step_BD_LD,Step_GEN,total_moves
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F' U B' L' F,R' B' R D2,U F' U' F2 U F2 R,L' B L U F' U' F U',R D2 U R U' B' D2 R2 B R D',F2 L2 R2 F2 L' R B' L' R B2 F2 U,L R' U L' U' L' R B L B',,,57
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B' R D2 R,L U2 L' B2 R',B L B' F U' F',D L' U' B' U L D' R,,D B' F' L' B F' D B' F' L' B F',B F' D' L' D B' F L' U L,F2 L2 B F D F' D' B' L2 F L F L',,58
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L D' U2 L',L' U B D' U',U' R B L U2 L U' B' U R' F2,R' F' U F' U2 F R2 F,L' R2 F L R' D' R',F2 R2 B F' R B F L2 B2 D R2,R' D2 L2 F' L2 D2 R2 B' R',F2 L2 B F D F' D' B' L2 F L F L',,68
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F' L R B,B D' B' D',U' F2 U' R U F2 U,F' U' F' D' F2 U B R B',U' B' F2 R' B R F2 U2 R' U' R,F2 L' R' F' L2 R2 B L' R' F2,U B F' D' L' D B' F L' U L U',,,57
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 F L2 U' F,B D B',L' B2 L U' F2 D R2 D' R F2,U' F U B2 R F' R' B2,B2 F2 L' F2 R,B' F' L' B2 R' B F' U F2 U B2,L F U F' U' L2 B' U' B U L,,,53
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D R' U F,D L D F2 R U' R' F2 D2,D2 L2 D' L D L2,B F' L U L' B2 F,D L' B L D' R2 U' B' R' B R2,B F U2 L' D2 F2 D2 B F' D' L2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,F2 L2 B F D F' D' B' L2 F L F L',,73
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D2 L' D F',L2 U2 L' U' L U2 L' B L' B',F' L' D L D F L',B' U2 F2 U2 B,D B' D' B' R' B R B,D R2 B F' R B F' U' L2 U' B2 F2,U' L R' U L' U' L' R B L B' U,F2 L2 B F D F' D' B' L2 F L F L',,71
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R' U2 B2 F,D2 B D' B',B2 L D' L' B2 R F R',B' R' D2 B2 U' B' U,L U2 L2 B R B' L B2 R' B,U L' R B' F' D2 L R' F2 U B2 F2,L U2 L' U' B' R' U2 R U B,,,55
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U F',L' U' L' B' U L B U,B' U' L B' L B L U,L' U' F D2 U,,F2 U B F' L B2 F2 R2 B F,F L' U L B F' D' L' D B',,,45
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B2 U B' L2 B',L B' L B D L D2 B D B2 L' B,B2 D U' L2 U,U B' F D R' F',D B D' B' R' B' R,F2 U2 L2 B F' U2 R B' F D B2 L2 R2,U' R' D2 L2 F' L2 D2 R2 B' R' U,,,59
