scramble,orientation,Step_BD,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_DBL_DFR,Step_FD_RD,Step_UB_UF_UL_UR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F',B2 D2,L2 D B2 D2 L2,B2 D R D2 B2 U2 L U2,D' L' F' U B' R2 B U' F L D,,R2 F2 U B2 F2 D' B2 R2,D' F2 L2 F2 D F2 L2 F2 D2,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' R2 D' B' R B' L' F2,L2,F2 R B2 F2 L B2,R B2 D' B2 F2 U' F2 R,U' F2 U' R' F2 U2 B2 L' D B2,B2 L2 B U F' D2 F U' B,L2 B' F U2 B F',D2 R2 F2 D' B2 L2 F2 U' B2 D2,58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D2 L' R' F R B' U L',D',D2 F2 L U2 F2 D2 R B2,U' R' U R U2 R' U' R',R2 U F2 U',B2 L2 B U F' D2 F U' B,R D2 L R' B2 L',L2 D B' F L2 B F' D L2,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D2 B' D' R U,D2,,B2 L' B U F2 U' B' L B2,U' F2 U,U' B2 L2 B U F' D2 F U' B U,F2 U' B2 R2 B2 U' F2 L2,R2 B2 D F2 L2 B2 U F2,47
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R2 B D F2 U' F,B2 R' D B2 F2 U' L F2,L' U R U' L' D' L2 U R' U',F2 L B2 F2 R',L' B2 F2 R F2,B' R B' L2 B R' B' L2 B2,B' F R2 B F' U2,B' F' D U' F' D' U B F' D F2,60
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' F,L2 D',L' F' U' B2 U F L' D L2,R B2 F2 L' B2 U' F2,D L' F2 U2 F2 L D',L2 R2 D L2 R2,U F2 L2 B2 D B2 L2 F2,F2 L2 D L2 D' F' D F' L2 F D' F' D L2,59
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D' B2 D2 B' R' F,,U R' U' L2 R2 D L2 R',B2 L2 B2 R2,L' U R B2 R' U' L,L2 R2 D2 L2 R2,R2 F2 U' B2 F2 D B2 R2,R2 U' B2 U' L' U R' U2 L U' R' D' L2 F2,53
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 R2 B2 L' B R' D' F',B2 R' F2 D2 B2 L' F2 U2,U2 L2 U2 B2,D B2 R2,U L B2 F2 R B2 F2 U,B' R B' L2 B R' B' L2 B2,R2 F2 L2 F2 R2 B2,U' F' U F' L2 B D' F2 U' B R2 B' U B',60
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D2 B' L' F D L2 U F',L' B2 U2 F2 R' D F2 U B2 U,B2,D' U L2 D L2 F2,L U R B2 R' U' L,L2 R2 D' L2 R2,R2 F2 U' B2 F2 D B2 R2,F2 D L2 D' F2 U L2 B2 U' R2 D F2 U' B2 U,60
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F D' B R B U2 R',B2 L' F D B2 D' F' L B2,D L2 B2,B' L U F2 U' L' B,R' U2 R2 U F2 D U R,L2 R2 D2 L2 R2,U' L2 D' L2 R2 U R2 U,U L2 U B2 U' L2 D L2 B2 U' F2 D F2 D' L2,63
