scramble,orientation,Step_DBL_DBR_DFR,Step_UF,Step_FD_RD,Step_GEN,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B' R D2 R,R' B2 R,F' U L2 R' U2 F' R,R F L2 F2 R' F L2 F' L2,L2 B2 U' F2 U B2 L2,B2 D' U2 F2 D U2 B2 D,L' D2 B2 U2 F2 U2 B2 L,R' F2 U' B2 L2 F2 D' B2 R',55
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F' U B' L' F,B' L B L',U' B U B2 D2 R B,F2 D' L' D' L2 B D' B' F D' L2,U' R2 U L2 U' R2 U,F2 R2 U2 R B2 L2 D2 L B2 R2 U2 R',L' D L D2 L' D' L,L' D U' F2 D' U L',60
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D R' U F,U' L U B',R2 B F L' F' D B' R2,D' L D F2 D' F' D F2,U F2 L' D2 F2 U2 R' B2 U,D' B2 U2 L' U2 B2 D2 R' D',L2 U' F2 U L2,B2 U' F2 D L2 U' R D2 U2 L D,58
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B2 U B' L2 B',D',L' U' B L B' F,L' U L2 U' L' B D B' F' L,D2 L2 U R2 U L2 D2 R2 D' B2 D,L' R B2 R B2 F2 R',B2 R' F2 D2 B2 L' F2 U2,B2 U' F2 D L2 D' F2 U,56
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F' L R B,L F' D' F,U2 L R2 B F U B' F,R' F L' B' F' D B R,U B2 D' B2 U R2 U2,R U2 R2 B2 L' D2 L2 B2 R' U2 R2 F2,B2 D B2 D' B2 D,R' B2 U' F2 L2 B2 D' F2 R',58
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D2 L' D F',B F' R B' F,L2 R2 D B D' U L2 R,U R D R' B' D' U2 F U,R2 D U' B2 D' U,R D2 B2 U2 L F2 U2 B2,U2 B2 D R2 D' B2 U2,R F2 U2 B D' F' L2 F D B' F2 R',59
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R' U2 B2 F,R' B2 R,U L R' F L' R U2,F' U2 F' R2 F U R F' U L2 F',U F2 L' D2 F2 U2 R' B2 U,,F2 L' D L' D' L2 F2 L' D' L,B2 R F R' B2 R B' D2 B F' R,55
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L D' U2 L',F L2 F' D',F' R2 D B' D' R' F,D' U' F U2 B2 D' B U' L' D2,R B D' B' R B D' R' D' R D2 B' R2,B2 D U' L2 D' U,F2 L' D L' D' L2 F2 L' D' L,L2 D U2 R2 D' U2 L2,61
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 F L2 U' F,L F' D' F,D2 R' D2 U2 F2 L U2,U' F U R F' R' B D B',R B D' B' R B D' R' D' R D2 B' R2,L2 D2 L2 D2 L2,R2 D U' B2 D' U,B R' B' R2 B F R' B' R F' R2,60
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U F',D',L' B' R U R2 B U,D2 R' B' L F' D' B F R D2,B2 L U' L' B2 R2 D' R' D R',U R2 B2 U F2 U' B2 R2 U',D2 L' D' L' B2 L2 D' L' D L' B2 L2 D2,D' B2 U R2 U' B2,60
