scramble,orientation,Step_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_BL_UBL,Step_RD,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B R2 B D2 L',B' F' R U L' F' L2 U',B' U R2 D' R D R U' B,D F D' B' D F' D' B,L B F' L B' F U' L',L2 D2 R2 B' R2 D2 L2 F',R F D2 L2 U2 B L2 D2 R,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B' F' L2 B2 L' U',U2 L' F' D' F' U B U,L2 B D2 B2 R2 D2 B L2 F' U2,U2 F U' B U2 R U' R' F' U2 B' U',U' B2 D' U R2 D,R' U R F2 R' F' R F' U',U' R D U B2 U2 B' U B U B2 D' R',64
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F' R2 U2 B' U',F2 L2 R U' F L2 R' F' D2,B2 R2 D L2 D' B2 R2 U',L U' B U' B' U2 L' R' U R U',U2 B' R' U L' R' B' L B R2 U2,U' L' B U2 B' L B U2 B' U,R B' R' B' R2 F D B D' B' F' R2 B2,67
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,F R2 F',R' D U' B L D2 L' U,B2 D2 B2 R' D2 R B2 D2 R',B R B' L R' U L' B',B2 R' U' R2 B2 D B D' B R' U B2,B L' B' U B' U' B L,R2 U B' F R2 B F' U R2,57
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U2 L' F' D B' L2,D R D L' R' F' R2 F L,R' U R F R' F' R2 U' R',U B F U' B' U F' U2 B U' B' U,F' L U R' U2 R U' L' F,B' U2 L2 R2 B L2 R2 U2 B,B' R' U R B L F U' F' L',64
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R D U R' B' U',L F2 D R F' D' U2 R' B,R2 F' R2 F U R2 F R' U' R',U B2 U' F U B2 F' R' U' R,L B2 L' B L B L' B,U B F U' F' U B' U L' U L U,R2 U B' F R2 B F' U R2,64
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D L B2 U' L D' R',D R U2 B2 U2 R F' D2 F2,L U2 F' U F R U R' U L',B' R2 D' R F2 R' F R F2 R2 D R' B,B U2 L U L2 B' L2 U' L' U2,U' L2 B2 D F2 D' L2 B2,R' D2 L2 F' L2 D2 R2 B' R',66
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F' L D2 U2 B' F' U',B D' B2 D R' F' R2 B F R',L' R U' L' R' F' L2 F,R2 F' R B' R2 U' R U F R2 B R,B L U2 B2 U' B2 U2 L' B',F2 L2 F' R2 F L2 R' U R' U' F2,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,71
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' R2 B L D R2,L' R2 B2 F R' F2 U2 B',R B' R U R' U' B' R' B2 R',R U F D B R' B' D' F' U',L U' B U L U2 L' U2 B' L',U2 L2 F' L' F L2 U L U,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,67
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B2 D' F' L2 B2,F2 L' F' D L2 D L' D' F',U' R' F2 R U' F2 U F U2 F U2,F L2 F' R F L2 F' R',L B' R B2 U B2 R' B L',F' L2 F L2 U2 B L' B' L U2 L' U L,R2 U' B' F R2 B F' U' R2,64
