scramble,orientation,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FD_FL_RD_UFL,Step_BD,Step_DFR,Step_UB_UF_UL_UR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,F D' F',R' U L R,U B F' L B2 F,L' R2 D L R B L' R D' L,B F2 D2 B D2 L B R' D2 L' R B2,B2 L2 B U F' D2 F U' B,L2 F2 R' D' R F2 L' U L' U',54
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B U R2,U2 B L' B' L',R' U' R B2,F R2 D R F L D F2 R U2,L' R B' L' B2 L2 B L2 B L2 B2 R',F2 L2 F' U' B D2 B' U F',D2 R2 B2 D F2 L2 B2 U F2 D2,53
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U2 R U' R B' R2,L' D F D',B U B',U R D' U R2 D U' R',D' F' U' F U L F L' D,B2 L2 B U F' D2 F U' B,L R' D2 R D' L F2 L' D L' D' F2 L2,52
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B2 U F U' B2,U' L U2 L2 U' L2,B L2 D2,U F' L B2 R' B' F D B' U',F' L D L D2 L' F' D' F2 L',B2 L2 B U F' D2 F U' B,R2 U' L' R B2 L R' U' R2,52
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B U2 R',R2 U L,U2 B' U B2,U' R2 B R' B L2 R' F2 L2 U',L U L' U L' R D2 L B R' B U2,F2 L2 F2 U R2 B2 R2 U',L2 R2 U B2 U' R2 U L2 B2 D B2 U' F2,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U B' U' R2 B,F',B U2 R' B',B F D B D' R B2 F',L2 R B R D R' B' L2 R' F U' F' U,F2 L2 F2 U R2 B2 R2 U',L2 B F' D2 B' F,45
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' B' R2,L2 U' L,F2 D B D' F2,R D L B R2 F' L U' L2 R,D L F' L' B' F2 D' F' D L' B F',F2 L2 F' U' B D2 B' U F',D R2 B' U B F2 D' B' F' D2 F' U' B D',56
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,R U R',U R2 D L' R2,B L' D',B2 F' L2 F U2 B2 U B U,F' L F R' U L D2 U B' U2 L' R F2,B2 L2 B U F' D2 F U' B,L2 D B2 D' F2 R2 D' R2 D R2 B2 F2 D',55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U F2 R',L U' B2 L',B2 U' B U B2,U L2 R' F' L R U' L' U L,L' U' B' F D R B2 R' D' B F' U L,B2 L2 B U F' D2 F U' B,F2 D L2 U' F2 R2 D' B2 U L2 D' L2 R2,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L' B2 R B2,D F' L' D F D2,R F D2,B U B' L' B L U' B',L2 B D' F D U' F U B2 L B D' F' L2,F2 L2 F' U' B D2 B' U F',F' L B' U2 F R' F' U2 B2 L' B' F,56
