scramble,orientation,Step_UB_UF_UL_UR,Step_GEN,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,F2 L F2 L F' L2 U' F,,F2 D U' R2 D',R' B2 D' L F2 L' D B2 R,L' U2 L B U L' U' L B',R2 U B' F R2 B F' U R2,L' B L' F2 L B' L' F2 L2,55
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,B R F U R F' U2 R' B2,L U2 B2 D2 F2 D2 B2 L',R2 D U' B2 D',R' B2 D' L F2 L' D B2 R,F2 L2 F2 L2,U,U' B2 U L' R B2 L R' U B2,51
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',B' R B U R' B' U2 B,L B2 D2 F2 R F2 D2 B2,R2 U L2 U' R2 U L2,U B2 R2 B2 R2,L2 B2 L2 B2,U' R2 U B' F R2 B F' U R2 U,F R' F L2 F' R F L2 F2,58
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',U2 L B L F' U B' L' F,U' F D2 L F' U2 F L' D2 F',R2 B2 R2 B2,B2 D' R2 D B2,B2 D2 F2 D2 B2,R2 U B' F R2 B F' U R2 U,U R2 U' B' F R2 B F' U' R2,58
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,L2 B L2 F2 U B2 U' B F2,U L U' L' U2 L U L',U R B F' U2 B' F R,R U2 R' B' U' R U R' B,D' L2 F2 L2 F2 D,U' R2 U B' F R2 B F' U R2,,55
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,B R U R' B' R' U' R,U' F2 D2 L' D2 F2 U2 R',R' U R U2 R' U' R,F2 L' F2 U2 F2 L F2,B2 D2 F2 D2 B2,,U L' B L' F2 L B' L' F2 L2 U',52
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,L' B2 L B2 F U' F',D' R2 D' F2 D R2 D,F' D2 R' F U2 F' R D2 F,R2 D' U2 F2 D U2 R2,B2 L' B2 U2 B2 L B2,R2 U B' F R2 B F' U R2 U2,U L2 B2 F2 R2 D R2 B2 F2 L2,62
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,R2 D F' U2 F2 U B2 F' D',U2 L2 B2 L2 B2,L2 R B2 L R' B2 U2 L,U' B2 R2 B2 R2,L' F' U B U' F U B' L,R2 U B' F R2 B F' U R2,U' L2 D' B U' B U B' D L2 F U' F',64
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,U L2 D B' F' U' B F2 D',R' F2 D2 B2 L' D2 F2,B2 L' B2 U2 B2 L B2,U L2 F2 L2 F2,U L' U L U2 L' U' L,R2 U B' F R2 B F' U R2 U,L B U B' L B U' L U L U' L' B' L2,66
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,F L2 F D2 R B D2 L2,L' D' F' R B2 R' F D L,U' R' B' U F U' B U F' R,D B2 D L2 U' L2 D2,U2 L2 D' B2 D L2,U',L F R F' L' B F L B' R' B L' B' F',61
