scramble,orientation,Step_UF,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_FR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U' R',B U' F2 U F' R' D' R B' L,R B D2 B' R',D2 L' B' L2 B L D2,R2 B L' R D2 L R' B R2,R F L B' L' U' L U B F' R',F R U2 B2 D2 L B2 U2 F,55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B' F2 R B,L' B' R2 U R2 B F' L',,D F D' B D F' D' B',U' F2 D' F2 D F2 U,L' D' F' D F D2 L D2,D2 L B' U2 F R' F' U2 B2 L' B' D2,48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F2 R2 U',L2 R D2 R' D F' L' D L2 F2,R B2 R2 B2 R',L' B F' D2 B' F L',U2 R2 U' R' U2 F' U' F2 R' F' U2,R F D' B D' B' D2 F' R',F R U2 B2 D2 L B2 U2 F,56
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U',B2 F' L B2 U L' U' L2,U B' D B U',B D' B' L2 D' L2 D L2,L2 B2 U' F2 U B2 L2,D F D' B D F' D2 B' L' D' L D,D2 L B' U2 F R' F' U2 B2 L' B' D2,58
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',B' F2 D R F2 R' B F2,D L2 U2 B U2 L2 D2 F D,F2 D' F' D U' R U F2,L2 D B U R2 U' B2 D B D2 L2,D B D B' D2,B F' D' F D B' F L' F' L,53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B L B' R2,D' B F D2 R2 B' R2 D L' D2,R' B' F D2 B F' R',U B' D B U',L2 R F' R B U2 B' R2 F L2,L2 F2 D' F' D F2 L2,B' D' L B' L' D' L B L' D2 B' D' B2,58
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B',B R U R' D2 B' F' L' F L',U B' D' B U',R B' U F' U' B R',L2 R U R U' R' F' U' R' F L2,L2 D' F' D F L2,L R2 U2 L' B L' B' L2 U2 R' F' L' R',58
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F R2 U' R',R U' F' D R2 D' U R F,R B2 R2 B2 R',L2 D' L2 D L2,L' D' L U2 F D F' U2,D2 B D B' D B2 R2 F' R' F R' B2,B D' L B' L' D' L B L' D2 B' D',58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R,B' L' U L' D U' L2 D2 B F,R B D B' R',D F' L2 F L2 F D',U2 L' D' L F L' D L F' U2,B' L2 F L F' L2 B L',L R2 U2 L' B L' B' L2 U2 R' F' L' R',57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F R2 U' R',U F2 L' U' R B' F2 U' B,R B2 R' B2 R',D B2 R2 U F' U' R2 B2 D',B D2 B',D2 L' D2 F' D' F D L,B2 L' U2 L B' R' F2 L' R' F' L R2 B',54
