scramble,orientation,Step_UF_UR,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F R' B,D R' F2 D' F',L U L' U L2,B U2 B2 U' B R' U' R,L2 U L' U L U2 L2,R' F2 R F' U2 R B L U' B' U' R',U R2 U' B' F R2 B F' U' R2,50
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 L' D2,F2 R2 B2 L B' L B' R2,U2 F',U2 R2 U' R' U R2,R U' B2 R' B2,D2 F R2 B' R' B' R' B' R' F' U2 B D2,F2 D L2 D' L2 B2 U' B2 R2 D' R2 F2,49
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 D',F' R' F' R F,L2 U L B' R2 F' R2 B L,B L' B L2 B2,B U B' L',U' F2 U F' R2 B L' D2 B' R2 F L2 F2,L U L' U L' U' L' U' L' R' F2 R,51
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,F2 L B' D',D' L D L2 F2,U' B U L2 B',U' R' F' U2 F R,D' U B' D,F' R B L' U F U2 B' F' U R' F,B2 L2 B2 R U' R F2 R' U R',46
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 B2 D',F' L U2 L U' F,B U' L2 B' F',R' U L2 R' F L2 R2,U2 L D' B' U' B D L',U2 R B U' F' L2 F U B' R',L F R F' L' B F L B' R' B L' B' F',53
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 D' B,L2 F2 L' F',B' U2 B U2 L,L' R' U R,L D' U2 B' U' B D L',U' R' F R B L' U' F U B' F' U,R2 U' L2 B2 D' F2 R2 U' L2 B2 D' F2,49
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D' R',F U L2 F',L' U B' U B U2 L,U B L' U2 B',L' U L',L R' U L' U' R F' L' F U2,U2 R2 B D B' R2 B D' B D B2 U2,44
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,L2 U F2,U L' U2 L2,B' R' F R' D' F' R2 B,U' L2 R2 F' L2 R2,B F' L B2 F U' R' U R B U2,F2 R' F' U' F' R2 B' D' B R2 U F' R F2,49
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' D2 B,L2 F2 L' F2,U B' U B L2,R B2 L' D L B2 R',U2 L2 R2 F' L2 R2,F R U R' F' U' B F2 L2 B' U2 F,U' L2 R' D' R F2 L' U L' R2 B2 R2,49
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U L2 B D',R U2 B' R B R2,U2 F',R' U' R,R B2 R' B2,F R' F2 L' D2 F' R2 B' L' U2 L' R',U F2 L R U2 R' B L' F2 L B' L U',44
