scramble,orientation,Step_GEN,Step_UF,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D R2 F' R' B',D,L U2 F2 U2 L' U,D2 B2 R F2 U2 F2 R' U L2 U' B2,R2 D2 R2 D2 R2,D U' R2 D' U F2,U2 R' F2 L F2 U2 L2 U2 L' U2 R,L' B2 F2 R U R' B2 F2 L D',56
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F',D2,L B2 F2 R' B2 U,U' L B2 F2 L D2 L R' D R2 B2,D' U' L2 U B2 D' B2 D2,B' R' F R F2 U2 B L B' U2 B F,F' R F R2 B' F' R F R' B R2,B L' B D' L' D B' L B',64
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B L D' F2 L2 R' F',B2,F2 U' F2 U2,D2 R2 D' L B2 F2 L2 R' U' L2 B2,L2 D' L2 D L2,L' D' L B2 R' U R' U' R2 B2,R B' F D2 B F' R,U R2 U F2 U' R2 U',52
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B F D2 R' D F',L B2 F2 R' D',R' U' R' D2 L U L' D2,R2 F2 R2 D' L D2 U2 R D' U2,B2 R B2 U2 F2 L F2 U2,L' D' L B2 R' U R' U' R2 B2,D U' B2 D' U R2,L2 D2 L2 D2 L2,59
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B2 R' F R B D' B L',U' B2,L' F2 U2 F2 L',B2 U' L2 B2 D' F2 L2 R2,L' D L B2 R2 U R U' R B2,B' R' F' U2 B2 L' B' L B' U2 B F,R' B' F D2 B F' R',L2 D2 L2 D2 L2,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R2 B D F2 U' F',R B2 F2 L' D,R2 U R2,B L' R' U L U' F2 R B' F2 R,F' U2 L' F D2 F' L U2 F D2,B2 U2 F2 R U2 B2 D2 L,L2 U2 R2 D R2 D' R2 U2 L2,L2 D' L2 D L2,57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' F',D',D B2 D',B2 U2 B2 D' L2 B2 L2 U2 B2,L2 U' F2 U L2,B R B2 L' D' R2 D' L R2 D B,R' B' F D2 B F' R',U B L' B' U R B' D' B' D B2 R' U2,56
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' R2 D' B' R B' L',,L B2 D2 B2 L U R2,U' B2 D B2 F2 L2 U L2 U,B2 U2 F2 D2 F2 U2,B D' U R' D R D U' B',R B D' B' R B D' R' D' R D2 B' R2,U2 F2 L' U2 B2 D2 R' B2,59
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D2 B' D' R',D2,U2 F2 U',U R2 U B2 D' B2 F2 U2,U' L2 U' R2 U L2 U' R2 U2,R B' F D2 B F' R,R B' R' B U2 F' L F U2 B2 R B2 R',L2 U2 R2 U2 L2,52
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D2 L B' R2 B2 R F',D,B2 R' B2 F2 L',F L' B' R F2 U F2 R' B L F,D F2 D' U L2 U',U' F2 U' R2 U F2 U,D' L2 D' L' U2 F2 D2 R U F2 U B2,U2 R U' L D L2 U B2 R2 U R U L,62
