scramble,orientation,Step_DBL_DBR_DFR,Step_GEN,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_UF,Step_FD_RD,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L D' U2 L',U' B2 R F2 D' U F' R2 B',R D2 U2 L' D U2,L' D R F2 R' D' L D,L' U L2 R2 D' L' R2,U2 F2 L' D2 F2 U2 R' B2,B2 F2 U' B2 F2 D,U' B2 F2 D' B2 F2 U2,55
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B' R D2 R,R B' L F L' U' B R',D R D2 U2 L' U2,L2 U' F2 D F2 U,L2 B2 R' D R' D' L U2 R U L U',F2 R' B2 F2 L B2,,U' F2 U B2 F2 D' B2 U,50
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D R' U F,D B2 D B' U' R2 D B R2 F',D' R2 D' B2 D R2,R2 D R2 U' F2 D F2,R F2 R U2 B2 R2 F2 L' F2 L' F2,U2 L F2 L2 U2 R' B2 R2 U2 L' B2 L2,D B2 F2 U' B2 F2,L2 B2 D F2 R2 F2 D B2,64
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F' L R B,U B' D' R' B L2 D' F' R2,B2 R' D R' D' R2 B2 R' D' R,R2 D' B2 D R2,F2 L2 D2 R' D2 R2 F2 R B2 R2 D2 L,L2 R D' L2 R2 U R,D B2 F2 U' B2 F2,B2 F2 D' R2 B2 F2 L2 U,61
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B2 U B' L2 B',F2 R2 D' B' R F' U R' B,D' U2 R' D2 U2 L,F2 D R' B2 F2 L' U' L2 U',L2 B2 R' D R' D' R B2 L U L U',F2 R' B2 F2 L B2,D B2 F2 U' B2 F2,U' B2 F2 D' R2 B2 F2 L2 U U,63
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 F L2 U' F,F' D2 L' B F D' U2 R2 B,R U R F2 L2 D R D' R B2 L2,B2 D F2 U' F2,U' F2 U' R2 U F2 U,B2 F2 L B2 F2 R',B2 F2 U B2 F2 D',U B2 F2 D B2 F2 U2,56
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D2 L' D F',R' U2 B2 F' U R' F L2,D' B2 U R2 U' B2,U2 F D B' D2 F D' B D F2 R2 U2,U2 B2 D' F2 U F2 U' B2 U',D',F2 D' B2 F2 U B2,L2 B2 D' F2 R2 F2 D' B2,54
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R' U2 B2 F,F' D B R' D' U B' F2 R',U' R2 D' U F2,L' R2 D L2 R2 U' L',U L2 B2 D' B' D B' L2 F U' F' U',L2 U' B2 U B2 U,R' U2 L' R B2 L,L2 U B2 F2 D B2 F2 U2 L2,58
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F' U B' L' F,F R' B' U' L' F' L2 U R,D,L' U' F U2 R B' U R F' U2 B',U L2 U R' D2 U2 L' D' F2,B L' B L F R2 B U' B' U F' U2 B,D B2 F2 U' B2 F2,L2 B2 F2 D B2 F2 U' L2,62
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U F',F2 R B' U F2 U' F' L U,,B2 L' D L D' L B2 D L' D' L',L' B2 F2 R B2 F2,U2 R2 D B2 D' B2 U R2 U,R D2 L R' B2 L',B2 F2 D' R2 B2 F2 L2 U,53
