scramble,orientation,Step_DBL_DBR_DFR,Step_BD_LD,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,Step_FD_RD,Step_UB_UF_UL_UR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B' R D2 R,U' R F D U' R B' U2,L' D' L D2,B L B2 L' B',B F' D B' D' L' D L F,U2 R2 B R2 U2 L2 F L2,B D U' R' B R D' U B' D',R2 D' B F' R2 B' F D' R2,57
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F' U B' L' F,F R' D2 U B' F U',L2 D2 B D B' D L2 U' F U,R2 B' R' B R2 U R U',F' D' F D L D L',L2 D2 U2 R2 U2,D B F' R' D' U R2 D U' B F,R2 D B F' R2 B' F D R2,62
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B2 U B' L2 B',L' B' R2 F U' L' R2,D2 U R U' B' D',L' F' D F D L D',L F' L2 B L' F' D2 F2 L' B',B D2 F' R2 F D B' D,U' L2 B F L B F' D' B2 L2 U,B2 D' L R' B2 L' R D' B2,63
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L D' U2 L',D2 U L D B' U' F',B' R D2 U' B' U,B2 D' B D B L2 F L' B' L F' L2,U2 F R' F' U2 B L B',R D' L' D2 L R' B',B R D R2 D' B' D' R' D2 R,F2 D L' R F2 L R' D F2,63
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D R' U F,D' U L U' F L F2,B F' L B' L U L2 F2 U' L' U F',B2 D' R2 D R2 U' B2 U,D2 B U' L' D2 U,B2 R' B' R B',D2 R2 D L R' B' L' R' D2,B F' D2 U2 B F' U' B2 F2 D L2 R2,63
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D2 L' D F',U2 R' B' U' L B U',U' B L2 B' U B2 D' B2 U F' U',D' B L B2 L F U2 F' L2,B U2 F' D' U2,D' R' B' R B D B',D' L R' B L' R D B F' R' B' F,,55
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F' L R B,B2 F' L B2 F2 R' F',D' L U B' L' B D L U' L2 F L,D' L' D2 L,D U' F2 D' F U L2,B2 R2 B' D' B R' B' D2 B',B' F' R2 U2 B2 U2 R' B' F D' B2 R2,B2 D' L R' B2 L' R D' B2,64
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R' U2 B2 F,U2 B D2 U2 L' F',F D B F' R' B',B2 L' D2 L B2 L2 D2 B' D' B D' L2,F2 D2 L2 U2 B2 R2 U2 L2,D L' D2 L D',L R B L' R D' R2,B2 D L R' B2 L' R D B2,57
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U F',D' F D' U B' L' U',B2 D' U R2 U',D2 F U' F' D2 F U F',B' R2 U F' U' R' B D B' R' B D',B' U' B' L B L U,B' F' R' U2 B2 U2 R2 B' F D B2 R2,,55
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 F L2 U' F,F L' D2 U2 R B' U2,B' L U2 B L2 D2 F D L,B' D' F' R F D,L2 D2 L' D2 L2 D',L' B R B' L B2 U R' U' R' B2,F' R2 B' U' B' U F R D2 R' B' D B2,,57
