scramble,orientation,Step_FD_RD,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR,Step_BD_LD,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,total_moves
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',B' D B2 D B' R' D' R,R B' D U2 B2 D' B R' B2,R2 B L D2 F2 D2 L' B' R2,F' L' U L2 U' L F L2,R B2 R2 B R2 B' R' B R' B R',L' B2 L B2 L B U' L' U L B' L',R U' F2 U R' B2 R U' F2 U R' B2,,73
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F' L D2 F' L2,U' R' U R' U2 R' U2 R2,R B' F R' F R F2 U B R',F' D' B L B' L' D F L2 B L2 B',D B D' F' D B' D' F,B' L2 B D2 F' D B D2 F D2 B' D L2,L B2 U B R B R' U' L' B,,70
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',D' B' L B2 D' B' F L',R' D2 L B' U B L2 D2 R,B' L' R2 B' L R' U R' B,L2 U F' R2 F U' L2 U F' R2 F U',B D R' U2 L U L2 U R D' B,D F D' B D F' D' B',D' L U R2 U' L' D B2,,70
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',B2 L2 B' D2 B' L D,F L F' R2 F' L R2 F' L2 F',F2 L' D' F2 L F2 D L F2,F' R F L2 F' R' F L2,F R2 D B2 R F R' B2 F' D' R2 F',D2 L2 F' L' U L2 U' L F D2,R U' F2 U R' B2 R U' F2 U R' B2,,72
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',L' D2 F2 L' D2 F',R U' L R2 U2 L' U R,L2 D F D' U L' U' L2,U F' R2 F U' L2 U F' R2 F U' L2,R' B' L2 B' U B' U' B2 L2 F' D' B F R,R B' U F U F' U2 B R',R2 D' U F2 D U',,67
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F2 D F L D,D' R2 B R2 B' D2 F D',F2 D' L D2 U2 R' D' U2 F2,F2 D' F2 L' F' L F' D F' U' R' U F',R D' L2 D R' U' F2 U,D2 F' D B2 D' F D2 U' L2 U,B2 R U' F2 U R' B2 R U' F2 U R',,66
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',B' F2 D L' B F' L2,B2 L' B' D L2 D' L2 B' L,L2 B R' F2 D' F2 R B' L2,U L' B' U B2 U' B L B2 U',L' F2 L' F2 L' F' U L U' L' F L',L2 B' U' B U2 F' L2 F L2 U' B L2 B',B2 U' F2 D L2 D' F2 U,,71
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',D L2 D',B2 R' F U' F' U R' B2 R2,L2 D F D2 U2 B' D U2 L2,D F D' B' D F' D' B,D' L2 U R2 U' L2 D B2,L U L2 F' D' L B' L' D F L' U' L2,R U' F2 U R' B2 R U' F2 U R' B2,,66
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,L B' D' L B R' D R,F2 L' R2 F' R2 F L' F2 L2,L2 D F D U' R' D2 U L2,B R' U' L' U L R B2 L2 B' L B L B,B' U' F2 U B D' L2 D,U2 F2 D' R2 D F2 U' B2 U',R U' F2 U R' B2 R U' F2 U R' B2,,70
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,D2 B' L D B D,U L' U' B R U' R' B' L,B' L' R2 B' L R' U R' B,U B U2 F2 R' F' R2 U' R' U2 F' U B' U',L U' F' U' B U2 F U2 B' U2 L',L2 D' U B2 D U',,,58
