scramble,orientation,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_GEN,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,F D' F',R' U L R,R2 B' U2 F D2 F',U F R' F',L' R B D2 L R' B2 U,F R' F2 L2 D' L' D' F' R' D' R2 F2 L',R B' D B L R' U' B' U L',,48
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B2 U F U' B2,U' L U2 L2 U' L2,L R' F2 R U L',B L2 D2,B' F' R B' F D' B2,L2 R D2 U F D' F' D' U' L2 R',F2 D' L' R F2 L R' D' F2,,47
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B U R2,R' U' F' U F' R,U2 L' U B2,B L' B L2 B2,U L2 R2 D' L2 R2,R2 U R2 B2 D B2 D' B' F' L B F,R D R' F' D R B R' B' D2 R' D F,,49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F U' R2,F2 D' F D F,D B',L' B U' B2 U L,D' B2 F2 D U B2 F2,B F' U' F' D2 F L D L' D' U B' L F,L B D B' L' B F2 U' R' U B' F2,,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B U2 R',R2 U L,B' R' F R' D2 F' R2,U2 B' U B2,L' R B D2 L R' B2 U,F U' B' R' B F D B' R B D' F2 U,R' D2 R2 D F' R' U' R2 U F R D' R',,51
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,R' U' R' U' R2,R2 U2 F2,D R' B',B F' L2 F U B',B F' L' U2 B' F R2,R2 B' F D' B2 D2 F D' B' L2 F' R2 F',L' F L B D2 F' D' F' D F2 D2 B' F',,50
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U B' U' R2 B,F',U L U L',B U2 R' B',U L2 R2 D2 L R' B' L R',L R2 B D R D' F' R' F2 R B' F2 L' R2,R' D' B' D B R2 D F D' F' R',,48
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L' B2 R B2,B2 R D R' B2 U' L',R B2 L B R',R F D2,R B U B' U' R' U',U2 F U' L' R B2 L' U' B' U L2 R' U' F',B F R D2 F2 D2 F2 D2 F2 R' B' F',,52
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U2 F U' R2,U' F U' F' L' U' L,B' R D,L' B U2 B2 L,U2 L R' F L' R U2,U B2 U2 R2 D B F R2 D2 R' B' F' D2 R2 U,F' U2 B2 L' D2 B2 U2 R' F',,50
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F2 R U R',R' F R,F' D',L' B' L F R2 F',L' R B D2 L R' B2 U,F2 R' D2 F L2 D B' L B L D' F' D' R F2,B D R' D2 F' R' F R D B' R' D R,,51
