scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_DBR_DFR,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R' U' R B' U B,R2 F D' U' L' D F' L U R2 F' L',F2 D B2 U' R2 U B2 D',L2 R2 D F2 D' L2 R2,D' L2 D2 F2 U' F2 U F2 D' F2,D' B2 D' F2 D B2 D' F2 D2,57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U2 B U B',B U2 L R' F' L' F' D2 R B' F2 L,R' B2 F2 L D L' B2 F2 R U',F2 R' B' R F2 R' B R,,U2 B' U F' U2 B U' F,48
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B' R B2 U2 B' R',L' R2 U B' D' B2 D B' L U' R2,R' B F' U2 B' F R',,D' U B2 D U' L2,,36
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,L2 B L2 U2 B',L' F' L2 B' L B2 L' B2 F L B',F2 D2 F2 L2 F2 L2 D2 F2,U2 R' B' U F U' B U F' R U,D2 B2 D' F2 D B2 D' F2 D',U' L2 D' U B2 D,56
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U2 L' U L,B2 U' F' U L2 B D F' D' B L2 F2,,U' R' F U' B' U F' U' B R U2,R2 D F2 U' F2 U F2 D' R2,U' L2 D' U B2 D,48
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,B L' B' L U,F U F2 L U' L' D F2 R2 F2 D' F,F2 D L2 U' R2 U L2 D',L2 R2 U L2 U' L2 R2,D' L2 D2 F2 U' F2 U F2 D' F2,D' B2 D' F2 D B2 D' F2 D2,58
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U B L' B' U L,U' B R2 B2 R2 U R2 B R2 U B',U' R2 D' U F2 D,,U' L' B' F U2 B F' L' U,,38
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L' B L U2 B',F' L' D' L' F2 L' F2 D L F' L2,U B2 R' B2 U2 B2 R D' R2 D B2,D' U R2 D U' B2,F R' F L2 F' R F' L2,U' F' D' U L U L' D U' F,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,L B L2 B' L' U,L B U2 F' U2 B2 L D F' L' D' B L' F2,U' F2 U B2 D' L2 D B2,L' U2 R' U' R U' L R' U' R,L' F' D' B' U' L U B D F,D' U R2 D U' B2,60
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',L' U2 L,B' R U F2 R' D2 B L2 F2 D2 L' D2 L,U R2 U' L2 D B2 D' L2,B2 U' R2 U' R' U2 B2 U2 R' D B2 D' U2,B R' B L2 B' R B L2 B2,L' D' B2 D R' U R U' L2 U L',63
