scramble,orientation,Step_UB_UF_UL_UR,Step_DBR_DFR_FD_RD,Step_BD,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,B U R B2 U' R' U2 B',L2 R2 F2 L' D' L D F L2 F R2,F2 R' B' R F2 R' B R,B' R B' L2 B R' B L2,,D2 B2 D' F2 D B2 D' F2 D',49
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,B2 L' U B' D' R2 D L U,D2 F U2 B U' B' L U' L' F' D2,L2 U R2 D' B2 D R2 U',L2 B R B' L2 B R' B',B2 D' F2 D B2 D' F2 D,D' L' D2 B2 D2 L D F2 U R2 U' F2,62
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',U2 F D R D B' D2 F',L2 B' U' B2 F2 U' R U R D' R2 B',D' U L2 D U' F2,D L' D2 B2 D2 L D2 B2 D,B2 D' F2 D B2 D' F2 D,L2 B' R B' L2 B R' B,56
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,L' U F' L2 U2 F L U',U B L' U2 R' B R B' R U L,F2 D2 L D2 F2 D2 L' D2,F2 D' U L2 D U',D' F2 D B2 D' F2 D B2,L' B2 L' B2 D2 L B2 L' B2 L' D2 L',60
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U L' F' U F L B U2 B',U' R F2 R' F' R F' R' U,F R' F L2 F' R F' L2,L2 B' L2 B2 L2 B2 L2 B',L F U2 F' L2 D2 F' R2 F D2 B' L,L' F2 D' F2 L F2 D F2 L' U L2 U',64
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,F U L U F2 U' L' F' U2,R B' U2 B F D' B' U B D F' R',D B2 D' F2 D B2 D' F2,L F2 L F2 D2 R' D2 L D2 R D2 L,,,47
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',F2 U R U' R' F' U' F' U2,B' U R2 D2 L B2 L' B2 D2 B2 R2 U' B,U' F2 D L2 D' F2 U B2,D' B2 D' F2 D B2 D' F2 D2,R' B2 D2 F2 L' U2 F2 D2,B2 L2 B' R' B L2 B' R B',62
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,D' L2 B L2 F' U2 B' F D,R F L U' L' B2 R' B2 U' F' R',R' B' R F2 R' B R F2,F L D' U2 B' U2 B D L2 B L F' L B',L2 D' U B2 D U',U2 F2 U' B2 U F2 U' B2 U',63
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,R' U2 B' U R2 B R,F' U' B U F L' U2 L U B' U,B2 R' B F' U2 B' F R' B2,F L D' U2 B' U2 B D L2 B L F' L B',B2 D' U R2 D U',L2 U R2 D' B2 D R2 U',61
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',D U2 B U2 B2 U' B D',B2 D U F' U' F D2 B' U' B D B2,D L2 D' F2 D L2 D' F2,F L D' U2 B' U2 B D L2 B L F' L B',L2 F2 R' D' R F2 L' U L' B2 U',D F2 D B2 D' F2 D B2 D2,68
