scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_DBL,Step_RD_UL_UR,Step_GEN,Step_FD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' R D,U2 F U' R2,L' B U2 B2 L,U' F U' F' L' U' L,,B' F' R F2 L' B' F U B2 U' F2,U' L' R B D2 B' L R' U B2,L2 U' B2 R2 F2 D' R2 B2,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B' U2 F D2 F',F D' F',U F R' F',R' U L R,U,U' L' R' F L2 R2 B' L' R' U,R U2 L D2 R' F R D2 R' F L',,39
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,L' B U' B2 U L,F2 D' F D F,U2,L R' D2 U2 B D2 U2 F' L' R,B F' L' B L B2 L' B2 L F,,37
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U B2,B U R2,B L' B L2 B2,R' U' F' U F' R,U,R2 D' B' F L' B' F U2 B2 F2 R2,U2 U' L' R B D2 B' L R' U B2 U2,,42
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D R' B',R' U' R' U' R2,B F' L2 F U B',R2 U2 F2,L F' L' U' F' U F,U' B F' L' B2 F2 R2 B F',B U2 B D B' U2 B D' B2,L' D2 L R' B2 R,48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R' F R' D2 F' R2,B U2 R',U2 B' U B2,R2 U L,B' R B R' F R F',L R' B U2 L' R F2 U' B2 F2,F' U' L' R2 U B2 U' R2 U L F,U2 L' R B2 L R',51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L R' F2 R U L',B2 U F U' B2,B L2 D2,U' L U2 L2 U' L2,L' B' R B' R' B2 L,L2 B F' R' B F' U R2 B2 F2,U' L' R B D2 B' L R' U B2,,47
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',L' B' L F R2 F',R' F R,B' R B R' F R F',F2 L2 U B' F R' U2 B F,B2 F' D L D' L' B' L B' F,,41
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R B2 L B R',L' B2 R B2,R F D2,B2 R D R' B2 U' L',U',D R2 F2 L2 U F2 R2 B2,F' U' L' R2 U B2 U' R2 U L F,U2 L' R B2 L R',45
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U L U L',U B' U' R2 B,B U2 R' B',F',U2,B' F' R B' F' R2 B2 U F2 L2,U' L' R D B D' R' U' B' U L,,36
