scramble,orientation,Step_UF,Step_FD_RD,Step_DBL_DBR_DFR,Step_FL_UFL,Step_BR_UBR,Step_FR,Step_BL_UBL,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U' R',B' D2 F2 D' B F2,L' R F L R',U2 R' U F U,B2 F' L B F' D' B F2,F' L' D2 U L' D2 L U2 F U F,D F2 D' L R' B D2 B' L' R,49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B',F2 L' B' D B L2 F2,L2 F' D' F L' D L2,U2 R' U B' F2 D B F2 R' U,U B' D B U',D2 L D L' U' F' D U,F' U2 B2 R' D2 B2 U2 L' F',52
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R,D R' B U' B' D' R,D' F L' F' D,B R2 D R D R' D2 R2 B',U2 R' U F U,D' L F' D' L' D2 L F2 L' F',L' B2 R' U R' U' R2 B2 L' D' L2,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F2 R2 U',R' U2 R2 B2 D' L B2 U2,L2 D B R2 F' R2 B' D L D2 L,D U2 F D' F' U2,B2 F' L B F' D' B F2,U' R2 D F2 D' R2 U,F' R U2 B2 D2 L B2 U2 F',54
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F R2 U' R',F2 R F2 L2 R F' R2,L' D' L D F L' F',U2 F' R' U2 R F' R' U2 R F2 U2,R B2 R2 B2 R',B' U2 F2 U2 B2 D B',L F2 R2 U' R' U R' F2 R F' L' R',56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F R2 U' R',B2 R' B' U2 B' L R F2,L B F' D2 B' F L,R B' F' U' B F R',U B' D2 B U',L' R2 U' L B' R' F2 R B U' R2,F R U2 B2 D2 L B2 U2 F,54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B L B' R2,B D2 F' U' F2 U B',B2 U R U' B2 L' D' L,F L D' F L D L2 D' F2 D,U2 R' U2 L,R F L' R' D' L' D,R F2 L F2 L F L' U B' U B U2 R',55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B' F2 R B,F R D2 L' R2 D2 R,F L F' D L' D' L D',R B' U L F' L' F' U' B F R',L' U2 R U2,B R2 F R2 B' L2 D2,F D' R' B' L' R2 F' R B U2 R D R,55
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U',D F2 D' B' D2 B L' F2,R B D B' R',U2 F D R F R' F' D' U2,U' F' U' R U2,L2 F' L B F' D' B' F2 L2,R2 U B L2 B' U2 B2 D B2 R F' R U,55
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',B' R' D2 R D2 B F',F' L B F' D' B' F2,L2 F L' D2 F' L2 F L D2 L',B2 F L' B F' D B,,U B L U' L' F' L U' F U' B' R2 U2,46
