scramble,orientation,Step_UF,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR,Step_GEN,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,F U' B L B' L' R2,R' U' R2 U F2 D' F L D F2 R',R B U' B2 U B' R' B2,B2 D U' L2 D' U,B L R' B L' R D' B',R B2 U2 F2 L F2 U2 B2,,50
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',L' R' F' R U2 F2 L',U' R D' U F' L2 D,F' D' L' R F2 L R' D' F,L2 D B2 U' F2 U B2 D',L' D L B2 R2 U R U' R B2,R B U' B2 U B' R' B2,F' U2 B2 L' D2 B2 U2 R' F',59
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F' L' U' F' R2 U',L2 B' F' R F2 U2 R' B F L2,B2 U' F2 U B2 U' F2 U,L2 D' L' D U' F' U L2,B D2 U R' D2 R D2 U' B',R' B' F D2 B F' R',B F' D' F D B' F L' F' L,60
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R2 D R' F2 D' L',F' U R' D B2 R B' D' U2 R U,F' D L' R F2 L R' D F,B L' B U' F2 U B' L B',U2 F2 D F2 D' F2 U2,U R2 D U' B2 D',B F' D' F D B' F L' F' L,61
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',F U2 L R' U' R',D' F R' B' U' B D R F' D F,R' F' R B' F D' B R,F' L' U L2 U' L F L2,D F D' B D F' D2 B' L' D' L D,B L' R D2 L R' B,F' U2 B2 L' D2 B2 U2 R' F',62
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,F2 U2 B U F D B',D L2 B' F' L2 D2 L' B F D,U B L2 D' L D L B' U' L F L',U' F2 D' F2 D F2 U,D U' B2 D' U R2,U F2 D U' R2 D',F' U2 B2 L' D2 B2 U2 R' F',58
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,B2 D R B' R' F R B',B L2 R2 F D2 F2 U F2 L2 U2,L2 F2 D' F' D U' R' U F2 L2,D2 B2 D B2 U' L2 D U,,F R2 U2 B2 D2 L2 B2 U2 F,F R U2 B2 D2 L B2 U2 F,57
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',R' B L' U2 B' F' L U,B R' F D F2 R F2 U' F U' B',U' L R' D R D L' U L D2 L',L' B' U' L' F L U B L,B' D L R' B2 L' R D B,D U' L2 D' U B2,F' U2 B2 L' D2 B2 U2 R' F',65
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F U2 L2 U' R2 U' R',B2 R2 U' F' D' U L' D B2 F2 R2,R2 U2 L2 U2 R2,L F L B F' D' B' L',D2 L B D B2 D' L2 D L B D,B' D' L R' B L' R B,F' U2 B2 L' D2 B2 U2 R' F',62
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',F R' B' D' B F',F2 L R' B' D2 B L' R,F2 D' F D U' R' U F2,B U F U' R2 D B' D B D2 R2 B',D U' B2 D' U R2,B D' L R' B2 L' R D' B',F' U2 B2 L' D2 B2 U2 R' F',59
