scramble,orientation,Step_UB_UF_UL_UR,Step_GEN,Step_GEN,Step_DBR,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,,,,L2 B2 L2 B2,L' D R' U2 R D' L,B2 D L2 D' B2,L' F' U B U' F U B' L U',41
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',,,U,B2 U' B2 U' B2 U2 B2 U',R' B F' U2 B' F R',R2 U' R2 D' F2 U2 F2 D,D2 B2 L2 B2 L2 D2,46
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,,,U2,B2 U B2 U' L2 B2 L2,R' D R' D' R2 F2 L' U' L F2,U' F2 R2 F2 R2 U',B2 D2 F2 R F2 D2 B2 L,48
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,,,U',L D' R U2 R' D L' U2,R' U B' F R2 B F' U R,B2 D2 F2 L F2 D2 B2 R,U R2 F2 R2 F2 U,46
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',,,U2,L B U' F' U B' U' F L' U,U2 R2 B2 R2 B2,U2 B2 U B2 U' B2 U',D2 R2 U2 R2 D2 L2,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,,,L2 F2 L2 F2 U',L U' L' U2 L U L' U',D' B2 L2 B2 L2 D,R' F U' B' U F' U' B R,B2 L2 B2 D' B2 D L2,51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,,,F2 R2 F2 R2,B2 D2 F2 R' F2 D2 B2 L',U' R2 D B2 D' R2 U2,L2 B2 L2 D L2 D' B2,L' B U' F' U B' U' F L U,52
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',,,U2,L U' L' U2 L U L' U',U2 R2 B2 R2 B2,U2 B2 U B2 U' B2 U',B2 L2 B2 L2,39
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,,,U',B2 D R2 U' L2 U R2 D',R2 B2 U2 B2 U2 B2 R2,R2 U' R2 D' F2 U2 F2 D,U2 L B2 D R' F2 R D' B2 L',49
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',,,R2 D B2 D' R2,L U' L' U2 L U L' U',U' R2 D B2 D' R2 U2,B2 L2 B2 L2,U' L' F' U B U' F U B' L,49
