scramble,orientation,Step_DBL_DBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_BD_BR_DFR_LD,Step_UF_UR,Step_GEN,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' U F2 U,R D R' D,L U F2 L2 F2 U' L',U' R' U' R B U B',U2 B' R' U' R' U B2 F' L' B' F,B2 R2 B2 D' R2 B2 R2 D',B D2 B' R U2 R' B D2 B' R U2 R',U2 B2 R2 F2 D R2 B2 L2 U',62
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L' F,D2 U L2 D F2,U2 R' F R F U F' U,U R D' U F D U2,F' U B L2 U L U' L2 B2 F R B,B L U2 F2 D2 R F2 U2 B,L' D L D' L' D' L2 B L' B D B2,D2 F2 L2 B2 U' L2 F2 R2 D,65
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D B' L2,F D' F' R,D2 U2 B2 L2 R2,F' U R' U' R F,L' U L D B L B' U' F' D',D L R' B L' R D2,F2 U2 F R' F R F2 U2 B L B' F2,D' R2 F2 L2 U B2 L2 F2 D2,56
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' F,B' L2 B' D B L2 B,U2 F2 U2,D2 B' D2,R U R D L' B2 L' R2 U' L' F L',B2 D B2 L2 B' F' R B F L2,B D2 B' R U2 R' B D2 B' R U2 R',D2 F2 L2 B2 U' L2 F2 R2 D,58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D F U' F,F U F' L',B' L B' F U' F' D2 B2,D2 B2 D B,R' B L2 D2 F R D L2 R U R',B2 R2 D B2 R2 B2 D R2,L R' F L' R U2 B F' L B' F,D F2 L2 B2 U' B2 L2 F2 D2,59
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L F' U',U' F R2 B' R2 U,B2 R F' R' D' B' L B',D B L B L',B' R B' F R D B2 F' U' F' L' F,D B' D' U R D' R' D U' B,B2 F' R F D2 B2 L B L' B D2 B2,U D F2 L2 B2 U' B2 L2 F2 D2 U',67
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,B U2,B2 U R' U' R' B' R B',U2 F' U2,R' B R B2,F U L' R2 B' R' U2 L U' R' F2,D' R2 B2 R2 D' R2 B2 R2,L2 D R2 U B U B' R2 D' L F' L,B2 D B F' R2 B' F D B2,57
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' L2,U' L2 U,F2 L2 R2 B L2 F,B2 D R' B R D2 B2,U2 L F L2 R B' L U' R' B' R2 B,D' B F' R B2 D2 B F' R2 F2,R2 B' F' R' F2 D2 F2 R' B F,B2 D' B F' R2 B' F D' B2,59
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L B R',B U' L' U,F R' U2 R F',F' U' R' U' R F R,B' U2 R' F D R2 D B2 F' R2,B' D2 B2 D2 B2 D2 B',F2 R B' R' F2 D F' D' R2 D B R2 F,B F' D U' F' D' U L2 B' F U',60
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U2 R,B U R2 U' B2,U F U F2 U2 R,B' R B F' U2 F R,B' L' U' F2 U B D R F2 R',U2 R2 F2 U' L2 F2 R2 D' B2 U2,F U2 L U B L B' L B L' B2 U B F',U2 B2 R2 F2 D R2 B2 L2 U',63
