scramble,orientation,Step_DBL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,Step_FD_RD,Step_UB_UF_UL_UR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,R2 F D U R B U' F',R2 D2,R' F2 U2 F2 R,L' R2 U' L2 R2 D L',R F U B2 U' F' R D' R2,U2 L2 R2 D L2 R2 U,L2 D L2 B2 R2 F2 R2 B2 D' L2,48
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L F D B2 U2 F2 D' B',L2 R D L2 R2 U' R',R' U L F2 L' U' R U,U2 R' B D F2 D' B' R U',R2 B2 D,L2 R2 U L2 R2 D',B2 D' B2 L2 B2 L2 R2 U' F2 R2,51
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,U B2 D B R' B D F' L2,B2 F2 L' B2 F2 R,U' L' F D B2 D' F' L,F R' D' U2 B' R2 B D U2 R F',U' B2 U,B2 F2 D' R2 B2 F2 L2 U,D2 L2 B2 R2 U' F2 R2 B2 D,54
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D L2 D2 U B U2 F' L',U F2 R' D2 U2 L' U,R' B' U F U' B U F' R U',U2 B2 L2 D2,B2 U F2 D' F2 U',U2 B2 F2 L2 D B2 F2 U' R2 U2,F2 U B2 R2 F2 L2 F2 R2 U' F2,55
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,R' F L' R' F2 D' B' U,R2 D,U' R' U L F2 L' U' R,L2 U' L B2 U2 B2 L,F2 R' D' B2 F2 U L,B2 F2 L2 D B2 F2 U' R2,F2 D' B' F D U' F D' U B F,51
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,D' U2 B D F' R B' R',B2 L B2 F2 R U2,R' B' U F U' B U F' R U',F2 D' U2 R2 D F2 D',D',F' U2 B' F R2 B,D2 B2 R2 U' F2 R2 B2 D' L2 D2,48
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L2 B F D F2 L U B',U2 R' D2 U2 L,R B' D R D2 R' D' B R',F2 R' B2 F2 L B2,F2 D2 L2 B2 D R2,L2 R2 U L2 R2 D',L2 B2 R2 U F2 R2 B2 D,48
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,B D' B D2 F2 U F,D' F2 D2 L2,U' L' F D B2 D' F' L,U2 F2 L D2 U2 R,B2 U2 F2 L D2 F2 U2 R,U2 B2 F2 D B2 F2 U,B2 R2 U' R2 B' F' D2 B' F D' L2,51
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' U F2 L2 U L F',D2 R2 D,R D L2 R2 U' L2 R,L F2 D L2 R2 U B2 L R2,R' D2 B2 D2 R,U B2 F2 D B2 F2 U2,R2 U' L2 R2 D B2 D B2 L2 B2 D B2,50
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L' R' U2 B2 D B R2 F',R2 D B2 D' B2 R2,R2,B2 F2 R' B2 F2 L,,L2 R2 U L2 R2 D',R2 F2 D' B2 L2 R2 B2 D L2 B2 R2 B2,39
