scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_DBL,Step_UB_UF_UL_UR,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' R D,U2 F U' R2,L D' B2 L' D' R D2 F D2 R',U' F2 D F' L D B2 D' L' F',U,L2 D B2 F2 L2 B2 F2 R2 D' L2,R2 U' B' F R2 B F' U' R2,47
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,F2 R F U R' U2 F' U F,U' F2 D' L D2 F2 U2 R U B2,,D' B2 R2 D R2 B2 R2 D R2 D,R2 U B' F R2 B F' U R2,43
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U B2,B U R2,B' U' B2 U B F2 D' F D F,F2 R D' R' D2 R D R' F2,U',B2 U' F2 R2 F2 U' B2 L2,U2 R2 U B' F R2 B F' U R2 U2,46
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B L' U2 B2,F D' F',U' L F' D R' U' B' U R F L',R F2 D L' B2 L D' F2 R',,D2 L2 F2 L2 D' B2 L2 F2 L2 R2 D,U2 R2 U' B' F R2 B F' U' R2 U2,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,F2 D L D',F U2 R U R2,F2 R' D2 F' U L' B' F U F2 L,U2 B' R F R D2 R' F' R' B,,L2 F2 D' B2 F2 R2 F2 R2 U' B2,U' R2 U' B' F R2 B F' U' R2 U,51
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L2 R2 F L2 D' R2,D2 U F D2,L' F' U B U' F U B' L,B' R2 B' L B D F R2 B,U2,L2 U B2 R2 F2 D B2 F2 L2 F2,U' R2 U B' F R2 B F' U R2 U,50
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D R' B',U' R U2 F2,L' B2 D2 F2 R' D' F2 D' B2,L2 F U2 L R2 F' L2 D L2 B D',,U' R2 B2 R2 U' B2 R2 B2,U R2 U B' F R2 B F' U R2 U',46
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',U2 L F2 L B D2 L2 F' U R,B2 L F2 D2 B2 R F2,,F2 R2 U L2 R2 D' L2 F2,U2 R2 U' B' F R2 B F' U' R2 U2,42
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F2 D2 B R' F2 L,F' D2 R D2,B2 L B F R' B2 F' U L B',R D L2 R2 U' L2 R,U2,U2 F2 U' B2 L2 U' B2 D F2 U' R2,U R2 U B' F R2 B F' U R2 U',50
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B U B' L',U2 F2 U' F,R2 B2 L2 B2 F' L' R' B L U2 F',B2 U' F2 D' F2 U B2,U2,L2 R2 B2 R2 D B2 F2 U' R2 B2,R2 U B' F R2 B F' U R2,46
