scramble,orientation,Step_UB_UL_UR,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F' L R B D2,R U2 B R',U L' U2 L,U R2 U R U' R2,R' U' L' R B L,L U2 L2 U' B D' B D B2 U L,U2 L2 B2 L' U' L B2 L' U L' U2,47
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L2 F' D' F2,B' U B2 L' B' L,U2 F2 L F2 L',U' R B R B R2,B D' U' R' D,U R B' R' B L' B' L,F2 D' F' D F' R2 B U' B' R2,44
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B2 R2 F D',B2 U2 B2 U' B,F' L2 B' F L2,U' B2 R U2 R',B U2 B',L F2 R2 D R2 F L' F2 U' F',L2 D L D' L B2 R' U R B2,42
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R F D' B2 F R,U' R B2 L R' U' L',L2 D' B2 D B' L2,U2 R' U2 R2 U R',D B' U2 B D',B U' B U2 B' L U' L' B U2 B2,R2 F2 R' B' R F2 R' B R',50
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L',D L' D F D2,U L2 R2 B L2 R2,R2 B2 R2 B' R2 B2 R2,U' L' B' L B U B',B F' U B' U' F L' B' L U2,U L2 R D R' B2 L U' L R2 F2 R2,51
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 B' R2 D' L',D L2 D F D2,R' F2 R F2,F' U' L F' L' F2,L D2 F R' D2 L',B' U' B U' F R2 B R' B R' F' U2,L2 F D F' R2 B U' B U B2 L2 R2,50
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' D B' D L',B' U B L U2 L',B2 D2 R2 F' R2 D2,R' D2 L' D2 R,B' U2 R' U' R,U' B' D U2 B' U B D' U B,L2 U L2 D' B2 F2 L2 D B2 U' F2 R2,49
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,B2 D' L2,B' U2 L U L',U B2 L' U' L,B2 U F' U' F,U L' B' L B U B',L U L2 R2 B' L B R2 U R B2 R',F R U2 L F' L F L2 U2 R B R2 F',50
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,D F L F2 D,B2 U2 L U L' B,U' B' L2 B' L2,U2 R U' R B' R2,U L' B' L R' U' R,D F' L' B D L D' B' L F D',R B' R' D' F D2 R D' B D R' D2 F' D,54
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L',U' L' B' L B,B2 L' U2 L,F2 U R' U R U2 F2,R' U2 F R' F' R2,L' B' U' B2 U B2 L U B U2 B' U,R' F' U B' D U' L2 D' F' U B' U' F2 R,51
