scramble,orientation,Step_FD_RD,Step_DFR,Step_UF,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',R D' R',D U2 R2 D B' R' U2 F',L2 D' F2 D,U' F2 D U F2 D',R F2 U' L' U L F2 U R',R' F2 D L F2 R F2 L' D' F2 R,45
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',F2 R D2 R',D F' D' L' F L2 F' L' D',F' L B L D2 L' B' L' F,L B F' D2 B' F L',L2 D F2 D',F2 D' U' F2 D U,43
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,B' D B,U' F' D2 L' R' F L U,L U L2 U' R' D' L D L2 R,L' D L D2 L' D' L,R2 U R' F2 U2 F2 R U' R2,F2 L2 U2 R2 U2,46
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,R D' R',F R' D' R D2 B' F' L B,D F2 D',U L' D2 U2 R' D2 F2 U,F' L B R F2 D R' B' L' F' D',U B2 L2 D L2 B2 U',44
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,L' R D2 R',L2 B' F' L' B D',B2 D U' L2 D' U,U2 L U2 F2 D2 L D2 L' R,D F2 D L2 D2,U F2 L' D2 F2 U2 R' B2 U,41
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,R F' D2 R',U2 B R2 U' B' U' L' D',U B2 D' R D2 B2 U2 L U F2,L' B F' D2 B' F L,U2 B2 D R D2 B2 U2 L,D U2 R2 D' U2,45
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',D' R D2 R',U B2 U' F' D2 F' L',U2 F2 L' U2 B2 D2 R' B2,U B2 L2 B2 L2 U',F2 U2 R2 U2,R U' R2 U' R2 U2 L D R' D' L',43
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',D' R D2 R',L' F U L2 B2 D' U B' U2,L2 D F2 D',L D U2 R B2 R' D' U2 L',R' B F' U2 B' F R',B2 U2 F2 L' F2 U2 B2 R',42
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',B R U' R' B',D L' U L' B2 U' F L' F',U F2 L U2 B2 D2 R B2 U,D' U2 B2 D U2 L2,U' R2 U,R2 U' B2 D B2 R2 U,43
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',B' D2 B,R F L' R' D' U' R2 U F',L' U' R' F2 R U L' U L2 U',U2 F2 L2 U' L2 F2 U2,L2 U' F2 U,D' U2 B2 D U2,42
