scramble,orientation,Step_UF_UR,Step_FD_RD,Step_DFR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B',L R' U' F R,B2 F' L B2,,U L U' L F' L2,F' U2 B U' L2 U B' U2 F,U2 L' D L U2 L' D' L,L2 R' F D F' D' L' F' L' R,44
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D2 B D',B L U B',R' B' U2 B R,F2 U2 B' D R D' B U2 F2,L F' L' F L2,L2 F L' F2,U B L B L B2 U',R2 B2 R F2 R' B2 R F2 R,47
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B,B F L2 U B',R2 F R2,F' L F' L' F' L F2 L',U L' U',U B L' B' U' F2,U B U B' U2,F' U' R' D' F D F R U,41
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2 B',B R B2 R' B',L' R2 F' R2,L' F L,F2 L' F2 L2 F L2,L F2 L D F D' F' L2,U2 R2 B' R2 B U2,F2 L2 F2 L' U2 B R' D2 R B' U2 L,47
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L B,B F' U L' B',B2 L2 F' L B2,U B2 L B2 U2 F U F',U' F U F' L',L2 F L' F2,U' F' D2 F2 R F2 D2 F U,L F' L' B F' L' F' L B' F2,50
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' R' D,F D2 R B D2,L' R2 F' R2,L R B D' B' R',L' B L B' L' D' B' D L,L2 F D F' D',B F' L2 B L' B' L' B' F,D' L2 D B F' R' D2 R B' F,52
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 F' D,L U2 F U',B2 F' L2 B2,R' F2 R' F R F R,L D F2 D',U2 B' R2 B R2 U2,L R B' R F' R' B L' R',L R' F L' F2 R U2 B L B' U2,49
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2,D2 R' D2,L' R2 F' R2,U B2 L2 B2 L' U' L,L' U L' U',R F R' F' U' R' U,L R B' R F' R' B L' R',F' U' R' D' F D F R U,46
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' U L' D2 B,F' L2 U' L U2,B R U' R' B',L2 F' L' F L,L2 F2 L2 F' L F' L F2,,U R B2 L2 D L2 B2 R' U',F' U' F U L F L',44
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B,F' L2 U2,B R U' R' B',B2 F U' F' U B2,R2 U L' U' L2 R2,D2 U2 R2 D2 U2,B' L' F2 L U R' D2 R U' B,F2 L2 F2 L' U2 B R' D2 R B' U2 L,51
