scramble,orientation,Step_BD_DFR_LD,Step_UB_UF_UL_UR,Step_GEN,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' F R2,R2 D2 B2 R' B D2 B2 R,D' R' D' B D' R U R D' F U' B',,F2 D L2 U' R2 U L2 D',B2 F2 D' B2 R2 B2 D B2 F2,F' L' F R2 F' L F R2,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,U B F' L U',U2 L' F2 D' F U B U,B D' R2 D F' D2 B' F2 D2 F',B2 D' U R2 D U',R' B' R F2 R' B R F2,D' B2 D' R' U2 B2 D2 L U L2 U F2,F' L' F R2 F' L F R2,57
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D U2 F L',B R2 D B D2 B R2,U' B R' D2 L2 U' L D2 U R B' U,R2 D F2 D' R2 U L2 U',R' B' R F2 R' B R F2,U R' B' F2 U F2 U' B F2 R U',F' L' F R2 F' L F R2,58
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U B2 L R',L' D' L U2 F U2 B',B' R F2 R2 F2 L' U R' U' L B,L' B' F U2 B F' L',D2 L2 F2 L2 F2 D2,D F2 D B2 D' F2 D B2 D2,R2 D R2 B2 R2 D' R2,51
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' F R2 F,R2 B D2 B2 R' B R,F' D' U B2 L2 D R2 F R2 U' L2 F,L U L F2 R2 D R D' R F2 L2,D' U R2 D U' B2,U' B2 U F2 U' B2 U F2,D' U B2 D U' L2,54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B R' F' L B2,R' D' B' R2 D' R' B D',B L2 B2 U' L' B2 L B2 U L2 B',,D' U L2 D U' F2,U F2 L2 D R2 D' L2 F2 U',F' L' B L F L' B' R' U R U' L,52
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B L2 D U2 L2,U F' R D' U' B2 R D2,F R2 B2 R D' R' F2 D B2 F2 R2 F',F2 L2 F2 L2,D' L' B2 U2 B2 L D2 F2 D',D' B2 D' R' U2 B2 D2 L U L2 U F2,U' F2 R2 F2 R2 U,56
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R2 B L2,L' D L2 D2 B D' B' L',B' U2 B R' U R F' D' L2 D U2 F,U B2 L2 B2 L2 U',R' U2 B2 D2 L' D2 B2 U2,U F' L' B' F2 R' U' R B F2 L F,B2 F2 D' B2 R2 B2 D B2 F2,59
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,D U2 B' L U',U L' F D' L R2 U' B2,U F' U R2 F2 R2 U' F U',B F D2 F L' F L F2 D2 B R B2 F',D' L2 F2 L2 F2 D,D F2 D B2 D' F2 D B2 D2,U B2 L2 B2 L2 U',56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R2 D F' L2 R',D' L' D2 L D,B' L R U B' R' B' U' B2 L',,R' B2 L2 D L' D2 L D L' D L' B2 R,D' U B2 D U' L2,,39
