scramble,orientation,Step_UF_UL_UR,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_GEN,Step_FD_RD,Step_DBL_DBR_DFR,Step_BD_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B',R' F' R F,U L2 B L2 B',R2 F2 R U' F2 R,U2 R2 U2 R U R' U R2,L F L' B L F' L' B',R U2 L R' F2 L',U' L' U L' B2 R D' R' B2 L2,,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 R' B L',F,L U' L',R' F' R F U F',B L U2 L' B',U B' R2 F2 R2 B U2 R' F' R,U' L R' F2 L' R U',R B' R F2 R' B R F2 R2,U' L2 B2 R2 D' R2 B2 L2,53
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,D' B' U2 L' R2,F U F' U F2,B2 D' B U' B' D B2,B' U R2 F R2 B,U' B' U2 B2 U B',L F L' F U F' U' F',U' L R' F2 L' R U',U' L2 R' D' R F2 L' U L' R2 B2 R2,L2 B2 R2 D R2 B2 L2 U,64
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L F2 R' B',B2 R B2 U2 R',B2 R2 F R F' R B2,U' R2 D' L' D R2,R' U R B U B',F' U' F L U F2 U' F' L',U' L R' F2 L' R U2,U' L' U L' B2 R D' R' B2 L2,L2 B2 R2 D R2 B2 L2 U,62
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L F' D B,L2 F2 L' F2 L',B' R' U' R2 B' R' B2,D' U L2 D,D L U' L' D',F' U2 F U2 L F L',D F2 L2 B2 U R2 B2 L2 U2,R U' R F2 R' U B' R F2 R' B R',L2 B2 R2 D R2 B2 L2 U,62
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D2 L D2 B F' D,U2 F U' F,U' L U L',U' L2 B2 R B R' B L2,R2 F2 U' F2 U R2,R' D2 L2 B U2 L2 D2 F R',,U R B' R F2 R' B R F2 R2 U',L2 B2 R2 D R2 B2 L2 U,56
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2 L',U F D2 B D2,U2 B2 L' B2 L,U R' U2 F' R,L F2 D R D' F2 L',R' F R U2 F U2 F',U L R' F2 L' R,U' L' U L' B2 R D' R' B2 L2,L2 B2 R2 D R2 B2 L2 U,57
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U B2 L' F' D' B,U2 B2 L F2 L' B2,B' L F' L' B,F' D2 B D2,R2 F2 R F2 R' F2 R2,R' F' U L' U' L U' F U R,,R2 F2 R' B' R F2 R' B R',,47
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B L',R2 F2 R' U' R',B U' B2 L' B' L B,R2 F2 L' R2 U L,U R2 U2 R U R' U R2,B L' B R D2 B2 L B' R' B,U' L R' F2 L' R U',U' L' U L' B2 R D' R' B2 L2,,58
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 R' B D,L2 F L' F' L',B' U2 R' U R U2 B,F2 D' U2 L' D,U2 F R2 F' R2,B' L U2 L' U2 L' B2 L B',D F2 L2 B2 U R2 B2 L2 U2,F2 R D R' B2 L U' L' B2 R2 D' R2 F2,U' L2 B2 R2 D' R2 B2 L2,66
