scramble,orientation,Step_FD_RD,Step_GEN,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',B' D2 L2 F2 D B F2 D' F',D,U2 R2 U2,U' F2 U,U2 L' B' L F2 L' B' D2 F2 R' B2,U L2 U' F2 U B2 R2 U B2 D' F2 U2,F2 D L' R F2 L R' D F2,52
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,L D' R F R2 B D' R B',U R B2 U2 F2 L F2 U,F2 R D' R' D2 R D R' F2,D' F2 D,B2 R2 B2 R2,D B' U F' D2 F U' B' L2 B2 D',R2 D B F' R2 B' F D R2,57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',L D' U2 B2 D B U2 F',D F2 L2,F2 R2 F2 R2,R U' B D F2 D' B' U R',L' B' D' F2 D B L,R2 F2 R2 U B U' F U2 B' U F' U,R2 D B F' R2 B' F D R2,56
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',F2 L' D2 R' B D B' R,D2 F2 L2,R2 D R2 D' R2,R D2 B2 U2 L F2 U2 B2,L D U' F2 D' U L,B2 D' F2 D R2 U' R2 B2 D' F2 D,B2 D' L R' B2 L' R D' B2,54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,F' L2 B' L D2 B' L' B2,B2 U2 F2 R' F2 U2 B2 L,B2 L2 B2 D,L U' R2 D R U L' U' R U,D' L D2 F2 D2 L' D,B' U F' D2 F U' B R2 F2 R2,B2 D F2 L2 D' R2 B2 L2 U' R2 D' B2,61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,L B' D B D L2 F',B2 L F D B2 D' F' L' B2,U2 R' D2 U2 L' F2,R2 D' L2 D L2 R2,U2 L2 F2 L2 F2 U2,U' F U' B U2 F' U B' U' R2 F2 R2,,49
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',L2 F' D R F2 D' R',D' F2 L2 D',D',R B2 D2 F2 L D' B2 U2,B2 D2 B' U2 R' B D2 B' R U2 B',D' F2 L2 F' U' B D2 B' U F' D,R2 B2 U2 L2 B' F' U2 R2 B' F',53
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,L' B D' F2 D' B' F',L2 D' R D2 F2 D2 R' D L2,U' R' U L F2 L' U' R U,L2 D',B2 R2 B2 R2,B2 D' F2 U B2 D' B2 L2 U' L2 D2 B2 F2,B2 D F2 L2 D' R2 B2 L2 U' R2 D' B2,59
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',F U2 F' R' U L2 U B',U2 B2 U R F2 U2 B2 L U' F2 D2,D F2 U B2 U' F2,F2 L B' D' F2 D B L' F2,D,U' F2 R2 F U B' D2 B U' F U,B F' D2 U2 B F' U' B2 F2 D L2 R2,62
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',B2 U F' L' U' F R B2,U L' D B2 D B2 D' L2 U' L',U' R2 U,L B U' F' D2 F U B' L',U2 B2 L' F2 D2 B2 R',R2 F2 L2 B D' F D2 B' D F' D L2 R2,L2 D' B' F L2 B F' D' L2,63
