scramble,orientation,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_DFL_UB_UF_UL_UR,Step_GEN,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,B' D B D2 L' F2 L' F',R D' B' R B R2 B' D' B R B,F L F' R F L' F' R',D' U F2 D U' R2,F2 U' R2 D F2 D' R2 U L2 F2,,,47
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',D L D' B D2 R' U2 R B' F,B2 D2 L' B' D' B L U' L U,R' F2 U F L2 B D' F D2 B' L2 U' R,F2 R2 U L2 D' F2 D L2 U' F2,F2 U' R2 D F2 D' R2 U L2 F2,,,57
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,B2 D' F D2 L2 R F U R',B F' D B2 L' F L B D2 F,D2 L D L2 F L U L B2 U' F' D L2,,B2 D' U R2 D U',,,40
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',U2 L' B2 D U2 R' U L U',D' F L' F' U2 R' U2 L,F2 U' R' B D B D' R B2 U R F2,F2 U L2 D' F2 D L2 U' R2 F2,R2 F2 R B R' F2 R B' R,,,49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,F2 L2 B D R' U B' R F2,B' L' R2 D2 L R2 B2 D' R' B' D,B U R' D R2 D R2 D R2 D2 R' U' B',D' U B2 D U' L2,D' U L2 D U' F2,,,48
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,F' L2 U2 L' U' B2 U' R',U' L F2 U2 B R D2 B2 U',B' D B2 U' F2 R2 U B2 D' F2 L2 B,B2 U2 F2 L2 D2 F2 L2 U2 R2,D' L' F' U L2 D' B D L2 U2 F U L D,B2 D' U R2 D U',,61
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',U' L2 D' L R' F2 U B2,B' U' L' U B2 R D R' B' D2,R2 U2 L' D2 U2 R D2 U2 L U2 R2,D' L' D' B R2 F' U F R2 B2 D B L D,R' B R' F2 R B' R' F2 R2,,D' U B2 D U' L2,61
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',F' R2 B U B F2 R2 B2,D U' F' U L2 D' U2 R U' B' U',F2 L' F2 U B2 D' L2 B D B U' F2 L,,D' B' L' U B2 D' R D B2 U2 L U B D,B2 D' U R2 D U',,56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',R2 U B D' B L2 F2 U' F',D2 F' L D U' F' D R F' D2 U,F' L R D' L2 D L' R' F' L2 F2,,D' B' L' U B2 D' R D B2 U2 L U B D,D' U L2 D U' F2,,55
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',R' B R' B' F' R2 D' L2 F',B2 D2 L B U2 F2 R U2 L' D L,D' L' U B2 U' B L D B L' B' L2,L2 D' U B2 D U',R' B R' F2 R B' R' F2 R2,D F L U' F2 D R' D' F2 U2 L' U' F' D',,65
