scramble,orientation,Step_UL_UR,Step_BD_DBL_DBR_DFR_LD,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,Step_FD_RD,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' L,U R2 F2 U2 R B' R' U2 R2,B F' L U L' B2 F,U B2 D U' L2 D',B F2 D' R' D R B R' B2 F2,R' B R D R' B' R D2 B D B' D,D2 L R' B R2 B L' R D' R2 D,58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U B' R,F2 L2 B2 D L' D' F L' F,D2 F' L2 F2 L2 F D2,B2 R F' U2 F L' D2 L F' U2 F R',U' B L2 B' L2 B' U,U B2 L U' L' B2 U' B2,R2 D L' R F' D2 F' L' R U F2 L2,58
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 B D,L D F2 D' U' F U' F2 L',B D2 B' D2,U' B' L' B L U B',B2 F2 L U' L' B' F2,R B' L' R D L R2,L B2 R2 B R' B' L' D2 R D R D' R,51
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' L D2,D2 F' U2 F' L F2 L' F2 D2,R2 U' L' B' D' B' L B2 U R2 B,U' B2 R' U' L U' F R' F L' R2 U',F2 D2 F' D2 F2,L U B U' B' L' B,F' U F' L' B' R' U' R B L F2,58
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U' F2 L B D,D2 B D R' B' U' B D U',U' B2 U' F2 U B2 U,B2 R D2 R2 B L B' R B2 L' B',R F' U2 L' D2 L U2 F R' B2,B' F2 R B R' B F2,D' R2 D L R' B' R2 B' L' R D2,60
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D',L F' U' F2 L2 U L F',R2 B R2 B' U R U' R' B,B L2 D2 B D2 L2,L2 U' F D F D' F U,B' F' D U2 L2 F2 U L D' L B' U F,R2 D B' U2 F2 D2 F2 U2 B' D' R2,58
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U' F2 L B D,L' B' L F' L2 F L2 U' B2,U2 F' D2 F2 U2 B D2,R' F2 L U L' F2 R,L' B' U B U' B L B',U R' U2 B U B U' B' U R2 B' R',D' F L B L' B' F' D2 B2 D B' D' B' D',62
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L',F2 L2 B' L U B' L,B' R2 B R U R2 U' R',R U R' U' R B2 R U R U' B2 R2 B2,D L2 D2 L D2 L2 D',L2 F2 D' F2 D F2 L D L,D2 B2 D' B' F L B2 L' B F' D',58
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L2 B D' L',F' D' L' D U' R B' U' R',F' L' B2 L F' R' U' R F U' F,L' R2 D2 R2 B R B' L B2 R' B,F2 D2 F' D2 F2,B U R2 D' R D R U',B D2 R2 U2 F L' D L' R F' R' U2 R2,61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,R F L' B D',F U' L R' F' U L' F' R,B R2 B D R D' R B2,U R' U' R2 B2 D B D' B R',F' R' D R' F' U2 F D' F2 U2 F R2 F2,B' F2 D' R' D B2 F2,F L' U L2 U2 L' U F R U' B R' F2,65
