scramble,orientation,Step_BD,Step_DBL_DBR_DFR_LD,Step_GEN,Step_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_UB_UF_UL_UR,Step_FD_RD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,L F,D B2 R2 D2 U B' U',F' U' L F2 L D' L2 F R2 B',D',D L' D L D2 L' D' L,R B' F D2 B F' R,U' F2 L' D2 F2 U2 R' B2 U',U F2 L2 B2 D L2 F2 R2,U L B2 F2 R' D' R B2 F2 L',62
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F,B2 D' B' L' R2 B L2,R' D' U' L2 U2 R2 U2 B U,L2 U' F2 D F2 U,B2 R' D' R' D B2 R D' R D R',D2,U B2 U2 L' U2 B2 U2 L' U,L B2 R2 B2 D' B2 R2 B2 D' L',,54
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U,F' D L2 D2 R' B' U2 B,L' F2 D' F D F2 D' L,D2,L' B' F U2 B F' L',U B2 D U2 F2 U L2,L U2 F2 D2 R F2 U2 B2,D' B F' D U' B D' U B' F,R D2 U2 L' U L D2 U2 R' U',60
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' F,L2 F L2 D' B' F',B2 R' B' U2 L U2 B' F D F',L2 U' F2 D F2 U,D2 B D B' R2 B D' B D B2 R2 D2,L2 U2 R2 U2 L2,L' B2 L B2 F2 R' F2 L,D R2 D B2 R2 B2 D R2 B2 D',,59
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,,D' R' F' U' F L2,F2 U2 B' U' R F' U' F' D' B',D,L' D L R2 B2 R D' R' B2 R2 D',B2 D' R B2 D2 B2 R D B2,L F R F' U2 B L' B L B2 U2 L',D' R' D2 U2 L D L' D2 U2 R,R D2 U2 L' U L D2 U2 R' U',69
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R2 U,L' B U R B' U' R',U' L D2 B2 U B D' B R B,D',B2 R' D' R' D B2 R D' R D R',U2 R' D R U2 L' D' L D2,L' B2 L B2 F2 R' F2 L,B2 R2 D' B' F D2 B' F' R2 D' R2,,59
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R F',U B' F2 U' B,R B2 U R2 F' R' D F U' B,D2,L2 D' L2 U B2 U',U B2 D2 L' F2 D2 B2 R' U,B2 U' F2 D L2 D U2 B2 D2 U',U2 B2 R D2 B2 U2 L' D' R2 B2 L2 U' R2,U L B2 F2 R' D' R B2 F2 L',66
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B U2,L R D L' B2 D L',R' D' U' L B L U R2 B',D2,L B F' D2 B' F L,D2 B2 U' F2 D' F2 D F2 U B2,L2 D' U B2 D U',L B2 D R D' L' D2 L R' D' L' D,R D2 U2 L' U L D2 U2 R' U',64
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U L F,F2 L2 R' F' L F' R2,L' D L B D' U2 F' U2,,L' D L R2 B2 R D' R' B2 R2 D',D L2 D' L2 D L2,L U2 F2 D2 R F2 U2 B2,L2 U' L F2 R2 U F2 R2 F2 U L D R2,U L B2 F2 R' D' R B2 F2 L',66
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B U2,D' L2 B' R' D L2 B,D U2 F' D' F' D' U2 B,,L D F2 U' F2 L' U' L2 D' L' U,R D2 U2 L' D2 U2,D2 F2 R' F2 D2 F2 R' F2,L2 U' L R2 F2 U L2 R2 D' B2 L U L2,R D2 U2 L' U L D2 U2 R' U',65
