scramble,orientation,Step_FD_RD,Step_UF,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_DBL_DFR,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',F D2,U2 R2 U2,B' U' F' U B,L F2 L',B2 D F' D' B2 D F D',U F R2 B2 D B D' B R2 F',F' R U2 B2 D2 L B2 U2 F',44
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',D B' L B,L R2 B F U F U' B' L' R2,U2 F2 R F2 U2,L2 U' R2 U F2,L' R2 F L2 R2,L' B2 R B2 L U2 R U2 R',D F2 D B' F L' F2 L' B F',52
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,F' D2,F2 R F' R F R2 F2,L D' F D,D' L F2 L' D,B' U2 F U2 B L2,F' L2 F' U' B D2 B' U F2,F R U2 B2 D2 L B2 U2 F,46
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,B R' B' R,R2 B2 L F L' B2 R2,U2 B' R2 B R' U2 F,U2 R U2,R2 U L2 U' R2,F' L2 B' D2 B' L' F L2 B2 L,U B L F' L2 D L B' L F U' L',51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',F' D2,R2 F2 R F2 D R' D' F2 R,U' F R2 U' R' U2 F',L2 U2 R' U2 F2,L U L' U',B U2 B2 R B R' F R2 F' U2,U2 B2 D' B F' R B F U2,49
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,F L D',L2 B2 L B2 L B2 L B2,L B D' B',B U' F' U' F U2 B',D U2 B' D' U2,L F' U2 L B D2 B' L' U2 L' F,F' U2 B2 L' D2 B2 U2 R' F',49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,L' D',U2 R B2 D2 B2 R' U2,L' U2 B2 R B2 U2 L F2,F' D F2 D',U L' U' L2,L B' F' D' F' D B F2 L',F' U2 B2 R' D2 B2 U2 L' F',46
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',D',B R U' R' B',F',D2 B' R2 U2 R2 B D2,U' B2 R2 F R F' R B2 U,L U' R D B2 R2 U R' D' L' R2,U B F L' B F' D B2 U',44
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',L D',R' D L F2 R2 F2 L' D' R,B2 F' L F L B2,D F2 D',F2 L2 F L F' L F2,B F' U' F U B' L F L',F U2 B2 L' D2 B2 U2 R' F,49
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',L' D',B' U2 B2 U2 B L' B2 L,L2 D' L D,L2 R' B' D B L2 R,L2 D F2 D' L2,L2 D L' U2 L D' L' U2 L',B L' F2 L' F' L2 B D' R' D' R B2,51
