scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_RD,Step_UB_UF_UL_UR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,total_moves
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,U' L2 B2 L' D' L B' L2 U,R D' R2 U' L2 U' L U2 R B2,U' R' B F' U2 B' F R' U,B R' B L2 B' R B L2 B2,U2 R2 U L2 U' R2 U L2 U,,54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,R' D' B' D2 U' L2 B2 L U B' R',R D U2 L B2 D2 B2 L U2 F2 D' R',D' L2 U R2 U' L2 D B2,B2 L2 B' R' B L2 B' R B',U F2 D2 L B2 D2 F2 R U,R D' L D R2 F2 D' L2 U L D R U2,70
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,B2 R U F' R2 U' B L B L',F2 U' B2 F2 R B2 F2 L' U F2 D,R2 D' U F2 D U',B2 R' U L' U2 R2 B2 R' U' L U2 B2,,,47
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,R D' U2 L' U2 B D F' R' F,L' D R2 D F2 D' L2 U' L' R2 D,D B2 D' L2 D B2 D' L2,U B2 U F2 D' R2 D F2 U2,U' L2 U' R2 U L2 U' R2 U2,R D' L D R2 F2 D' L2 U L D R U2,67
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',U F R' D2 L' F2 L U' R' B,U2 L2 D L' U2 B2 D2 R' D' R2,L2 D L2 U' R2 U L2 D' F2 L2,,R' B2 R2 B R B' R2 B R B U R U',,50
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',D2 B D' U F U' R' D2 B',D2 U' L B2 D2 B2 L U B2 D R2,F' L F2 D F D' F L' F R U R',L2 D B2 D' L2 U R2 U',D' U L2 D U' F2,R D' L D R2 F2 D' L2 U L D R U2,67
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,F' R B2 R F R' B' R D B2,R D' B2 U2 L2 F2 U2 R2 D R2 B2 R D',U R2 D' B2 D R2 U' L2,,U R' U' B' R' B' R2 B R' B' R2 B2 R,,51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,R' B2 R U' L D' B U R' D' B',D' U2 F2 L' F2 U2 B2 R' B2,F' L F2 D F D' F L' F R U R',U R2 D' B2 D R2 U' L2,D2 L' D' L D L2 F2 R U R' F2 L2 D2,B2 D' L2 U R2 U' L2 D,67
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,D2 B F2 D F2 D' F2 D R2 B',U R' D2 U2 L D' U,D' U R2 D U' B2,,D2 L' D' L D L2 F2 R U R' F2 L2 D2,,43
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',B D2 F U L R' F' U' R F',R B2 R2 D' B2 R2 B2 D' R D2,U R2 U' L2 D B2 D' L2,U2 L' B U' B' L B U' L' U' L U2 B' U2,B R' B L2 B' R B L2 B2,R D' L D R2 F2 D' L2 U L D R U2,71
